G1	<grk>Ἀλφα</grk> alpha
G94	<grk>ἄδικος</grk> unjust
G95	<grk>ἀδίκως</grk> unjustly
G96	<grk>ἀδόκιμος</grk> failing
G97	<grk>ἄδολος</grk> pure
G98	<grk>Ἀδραμυττηνός</grk> Adramyttene
G99	<grk>Ἀδρίας</grk> Adriatic Sea
G100	<grk>ἁδρότης</grk> abundance
G101	<grk>ἀδυνατέω</grk> not to be able
G102	<grk>ἀδύνατος</grk> unable
G103	<grk>ᾄδω</grk> to sing
G104	<grk>ἀεί</grk> always
G105	<grk>ἀετός</grk> eagle
G106	<grk>ἄζυμος</grk> unleavened
G107	<grk>Ἀζώρ</grk> Azor
G108	<grk>Ἄζωτος</grk> Azotus
G109	<grk>ἀήρ</grk> air
G110	<grk>ἀθανασία</grk> immortality
G111	<grk>ἀθέμιτος</grk> unlawful
G112	<grk>ἄθεος</grk> without God
G113	<grk>ἄθεσμος</grk> lawless
G114	<grk>ἀθετέω</grk> to reject
G115	<grk>ἀθέτησις</grk> nullification
G116	<grk>Ἀθῆναι</grk> Athens
G117	<grk>Ἀθηναῖος</grk> Athenian
G118	<grk>ἀθλέω</grk> to compete
G119	<grk>ἄθλησις</grk> struggle
G120	<grk>ἀθυμέω</grk> be discouraged
G121	<grk>ἀθῷος</grk> innocent
G122	<grk>αἴγειος</grk> goat's
G123	<grk>αἰγιαλός</grk> shore
G124	<grk>Αἰγύπτιος</grk> Egyptian
G125	<grk>Αἴγυπτος</grk> Egypt
G126	<grk>ἀΐδιος</grk> eternal
G127	<grk>αἰδώς</grk> modesty
G128	<grk>Αἰθίοψ</grk> Ethiopian
G129	<grk>αἷμα</grk> blood
G130	<grk>αἱματεκχυσία</grk> bloodshed
G131	<grk>αἱμορροέω</grk> to bleed
G132	<grk>Αἰνέας</grk> Aeneas
G133	<grk>αἴνεσις</grk> praise
G134	<grk>αἰνέω</grk> to praise
G135	<grk>αἴνιγμα</grk> obscure thing
G136	<grk>αἶνος</grk> praise
G137	<grk>Αἰνών</grk> Aenon
G138	<grk>αἱρέω</grk> to choose
G139	<grk>αἵρεσις</grk> sect
G140	<grk>αἱρετίζω</grk> to choose
G141	<grk>αἱρετικός</grk> schismatic
G142	<grk>αἴρω</grk> to take up
G143	<grk>αἰσθάνομαι</grk> to perceive
G144	<grk>αἴσθησις</grk> insight
G145	<grk>αἰσθητήριον</grk> sense
G146	<grk>αἰσχροκερδής</grk> greedy
G147	<grk>αἰσχροκερδῶς</grk> greedily
G148	<grk>αἰσχρολογία</grk> obscenity
G149	<grk>αἰσχρόν</grk> shameful
G150	<grk>αἰσχρός</grk> shameful
G151	<grk>αἰσχρότης</grk> obscenity
G152	<grk>αἰσχύνη</grk> shame
G153	<grk>αἰσχύνω</grk> be ashamed
G154	<grk>αἰτέω</grk> to ask
G155	<grk>αἴτημα</grk> request
G156	<grk>αἰτία</grk> cause/charge
G157	<grk>αἰτίαμα</grk> charge
G158	<grk>αἴτιον</grk> reason for charge
G159	<grk>αἴτιος</grk> causer
G160	<grk>αἰφνίδιος</grk> sudden
G161	<grk>αἰχμαλωσία</grk> captivity
G162	<grk>αἰχμαλωτεύω</grk> to take captive
G163	<grk>αἰχμαλωτίζω</grk> to capture
G164	<grk>αἰχμάλωτος</grk> captive
G165	<grk>αἰών</grk> an age
G166	<grk>αἰώνιος</grk> eternal
G167	<grk>ἀκαθαρσία</grk> impurity
G168	<grk>ἀκαθάρτης</grk> uncleanness
G169	<grk>ἀκάθαρτος</grk> unclean
G170	<grk>ἀκαιρέω</grk> to lack opportunity
G171	<grk>ἀκαίρως</grk> unseasonably
G172	<grk>ἄκακος</grk> innocent
G173	<grk>ἄκανθα</grk> a thorn
G174	<grk>ἀκάνθινος</grk> thorny
G175	<grk>ἄκαρπος</grk> unfruitful
G176	<grk>ἀκατάγνωστος</grk> beyond reproach
G177	<grk>ἀκατακάλυπτος</grk> uncovered
G178	<grk>ἀκατάκριτος</grk> uncondemned
G179	<grk>ἀκατάλυτος</grk> indestructible
G180	<grk>ἀκατάπαυστος</grk> unceasing
G181	<grk>ἀκαταστασία</grk> disorder
G182	<grk>ἀκατάστατος</grk> restless
G183	<grk>ἀκατάσχετος</grk> uncontrollable
G184	<grk>Ἀκελδαμά</grk> Akeldama
G185	<grk>ἀκέραιος</grk> innocent
G186	<grk>ἀκλινής</grk> unwavering
G187	<grk>ἀκμάζω</grk> to ripen
G188	<grk>ἀκμήν</grk> still
G189	<grk>ἀκοή</grk> hearing
G190	<grk>ἀκολουθέω</grk> to follow
G191	<grk>ἀκούω</grk> to hear
G192	<grk>ἀκρασία</grk> self-indulgence
G193	<grk>ἀκρατής</grk> intemperate
G194	<grk>ἄκρατος</grk> undiluted
G195	<grk>ἀκρίβεια</grk> strictness
G196	<grk>ἀκριβέστατος</grk> strictest
G197	<grk>ἀκριβέστερον</grk> stricter
G198	<grk>ἀκριβόω</grk> be exactly
G199	<grk>ἀκριβῶς</grk> exactly
G200	<grk>ἀκρίς</grk> locust
G201	<grk>ἀκροατήριον</grk> hall
G202	<grk>ἀκροατής</grk> hearer
G203	<grk>ἀκροβυστία</grk> uncircumcision
G204	<grk>ἀκρογωνιαῖος</grk> cornerstone
G205	<grk>ἀκροθίνιον</grk> fine spoils
G206	<grk>ἄκρον</grk> end
G207	<grk>Ἀκύλας</grk> Aquila
G208	<grk>ἀκυρόω</grk> to nullify
G209	<grk>ἀκωλύτως</grk> freely
G210	<grk>ἄκων</grk> unwilling
G211	<grk>ἀλάβαστρον</grk> jar
G212	<grk>ἀλαζονεία</grk> boasting
G213	<grk>ἀλαζών</grk> braggart
G214	<grk>ἀλαλάζω</grk> to wail
G215	<grk>ἀλάλητος</grk> inexpressible
G216	<grk>ἄλαλος</grk> mute
G217	<grk>ἅλας</grk> salt
G218	<grk>ἀλείφω</grk> to anoint
G219	<grk>ἀλεκτοροφωνία</grk> crowing
G220	<grk>ἀλέκτωρ</grk> rooster
G221	<grk>Ἀλεξανδρεύς</grk> Alexandrian
G222	<grk>Ἀλεξανδρῖνος</grk> Alexandrian
G223	<grk>Ἀλέξανδρος</grk> Alexander
G224	<grk>ἄλευρον</grk> flour
G225	<grk>ἀλήθεια</grk> truth
G226	<grk>ἀληθεύω</grk> be truthful
G227	<grk>ἀληθής</grk> true
G228	<grk>ἀληθινός</grk> true
G229	<grk>ἀλήθω</grk> to grind
G230	<grk>ἀληθῶς</grk> truly
G231	<grk>ἁλιεύς</grk> fisherman
G232	<grk>ἁλιεύω</grk> to fish
G233	<grk>ἁλίζω</grk> to salt
G234	<grk>ἀλίσγημα</grk> defilement
G235	<grk>ἀλλά</grk> but
G236	<grk>ἀλλάσσω</grk> to change
G237	<grk>ἀλλαχόθεν</grk> from elsewhere
G238	<grk>ἀλληγορέω</grk> to use an analogy
G239	<grk>ἀλληλουϊα</grk> hallelujah
G240	<grk>ἀλλήλων</grk> one another
G241	<grk>ἀλλογενής</grk> foreign
G242	<grk>ἅλλομαι</grk> to spring
G243	<grk>ἄλλος</grk> another
G244	<grk>ἀλλοτριεπίσκοπος</grk> meddler
G245	<grk>ἀλλότριος</grk> another’s
G246	<grk>ἀλλόφυλος</grk> foreigner
G247	<grk>ἄλλως</grk> otherwise
G248	<grk>ἀλοάω</grk> to thresh
G249	<grk>ἄλογος</grk> unreasonable
G250	<grk>ἀλόη</grk> aloes
G251	<grk>ἅλς</grk> salt
G252	<grk>ἁλυκός</grk> salty
G253	<grk>ἄλυπος</grk> without anxiety
G254	<grk>ἅλυσις</grk> chain
G255	<grk>ἀλυσιτελής</grk> unprofitable
G256	<grk>Ἀλφαῖος</grk> Alphaeus
G257	<grk>ἅλων</grk> threshing-floor
G258	<grk>ἀλώπηξ</grk> fox
G259	<grk>ἅλωσις</grk> capture
G260	<grk>ἅμα</grk> together
G261	<grk>ἀμαθής</grk> ignorant
G262	<grk>ἀμαράντινος</grk> unfading
G263	<grk>ἀμάραντος</grk> unfading
G264	<grk>ἁμαρτάνω</grk> to sin
G265	<grk>ἁμάρτημα</grk> sin
G266	<grk>ἁμαρτία</grk> sin
G267	<grk>ἀμάρτυρος</grk> without witness
G268	<grk>ἁμαρτωλός</grk> sinful
G269	<grk>ἄμαχος</grk> peacable
G270	<grk>ἀμάω</grk> to mow
G271	<grk>ἀμέθυστος</grk> amethyst
G272	<grk>ἀμελέω</grk> to neglect
G273	<grk>ἄμεμπτος</grk> blameless
G274	<grk>ἀμέμπτως</grk> blamelessly
G275	<grk>ἀμέριμνος</grk> untroubled
G276	<grk>ἀμετάθετος</grk> unchangeable
G277	<grk>ἀμετακίνητος</grk> immovable
G278	<grk>ἀμεταμέλητος</grk> irrevocable
G279	<grk>ἀμετανόητος</grk> unrepentant
G280	<grk>ἄμετρος</grk> immoderate
G281	<grk>ἀμήν</grk> amen
G282	<grk>ἀμήτωρ</grk> motherless
G283	<grk>ἀμίαντος</grk> pure
G284	<grk>Ἀμιναδάβ</grk> Amminadab
G285	<grk>ἄμμος</grk> sand
G286	<grk>ἀμνός</grk> lamb
G287	<grk>ἀμοιβή</grk> repayment
G288	<grk>ἄμπελος</grk> vine
G289	<grk>ἀμπελουργός</grk> a vine-worker
G290	<grk>ἀμπελών</grk> vineyard
G291	<grk>Ἀμπλίας</grk> Ampliatus
G292	<grk>ἀμύνω</grk> to defend
G293	<grk>ἀμφίβληστρον</grk> net
G294	<grk>ἀμφιέννυμι</grk> to clothe
G295	<grk>Ἀμφίπολις</grk> Amphipolis
G296	<grk>ἄμφοδον</grk> street
G297	<grk>ἀμφότερος</grk> both
G298	<grk>ἀμώμητος</grk> blameless
G299	<grk>ἄμωμος</grk> blameless
G300	<grk>Ἀμών</grk> Amon
G301	<grk>Ἀμώς</grk> Amos
G302	<grk>ἄν</grk> if
G303	<grk>ἀνά</grk> each
G304	<grk>ἀναβαθμός</grk> stairs
G305	<grk>ἀναβαίνω</grk> to ascend
G306	<grk>ἀναβάλλω</grk> to defer
G307	<grk>ἀναβιβάζω</grk> to pull up
G308	<grk>ἀναβλέπω</grk> to look up/see again
G309	<grk>ἀνάβλεψις</grk> recovery of sight
G310	<grk>ἀναβοάω</grk> to cry out
G311	<grk>ἀναβολή</grk> delay
G312	<grk>ἀναγγέλλω</grk> to report
G313	<grk>ἀναγεννάω</grk> to beget
G314	<grk>ἀναγινώσκω</grk> to read
G315	<grk>ἀναγκάζω</grk> to compel
G316	<grk>ἀναγκαῖος</grk> necessary
G317	<grk>ἀναγκαστῶς</grk> necessarily
G318	<grk>ἀνάγκη</grk> necessity
G319	<grk>ἀναγνωρίζω</grk> to recognize
G320	<grk>ἀνάγνωσις</grk> reading
G321	<grk>ἀνάγω</grk> to lead
G322	<grk>ἀναδείκνυμι</grk> to appoint
G323	<grk>ἀνάδειξις</grk> public appearance
G324	<grk>ἀναδέχομαι</grk> to receive
G325	<grk>ἀναδίδωμι</grk> to deliver
G326	<grk>ἀναζάω</grk> to revive
G327	<grk>ἀναζητέω</grk> to search
G328	<grk>ἀναζώννυμι</grk> to gird
G329	<grk>ἀναζωπυρέω</grk> to rekindle
G330	<grk>ἀναθάλλω</grk> to renew
G331	<grk>ἀνάθεμα</grk> devoted
G332	<grk>ἀναθεματίζω</grk> to take an oath
G333	<grk>ἀναθεωρέω</grk> to contemplate
G334	<grk>ἀνάθημα</grk> a vow offering
G335	<grk>ἀναίδεια</grk> shamelessnes
G336	<grk>ἀναίρεσις</grk> murder
G337	<grk>ἀναιρέω</grk> to do away with
G338	<grk>ἀναίτιος</grk> innocent
G339	<grk>ἀνακαθίζω</grk> to sit up
G340	<grk>ἀνακαινίζω</grk> to restore
G341	<grk>ἀνακαινόω</grk> to renew
G342	<grk>ἀνακαίνωσις</grk> renewal
G343	<grk>ἀνακαλύπτω</grk> to unveil
G344	<grk>ἀνακάμπτω</grk> to return
G345	<grk>ἀνάκειμαι</grk> to recline
G346	<grk>ἀνακεφαλαιόομαι</grk> to summarise
G347	<grk>ἀνακλίνω</grk> to recline
G348	<grk>ἀνακόπτω</grk> to hinder
G349	<grk>ἀνακράζω</grk> to yell
G350	<grk>ἀνακρίνω</grk> to investigate
G351	<grk>ἀνάκρισις</grk> investigation
G352	<grk>ἀνακύπτω</grk> to straighten up
G353	<grk>ἀναλαμβάνω</grk> to take up
G354	<grk>ἀνάληψις</grk> ascension
G355	<grk>ἀναλίσκω</grk> to consume
G356	<grk>ἀναλογία</grk> proportion
G357	<grk>ἀναλογίζομαι</grk> to consider
G358	<grk>ἄναλος</grk> unsalty
G359	<grk>ἀνάλυσις</grk> departure
G360	<grk>ἀναλύω</grk> to depart
G361	<grk>ἀναμάρτητος</grk> sinless
G362	<grk>ἀναμένω</grk> to await
G363	<grk>ἀναμιμνήσκω</grk> to remind
G364	<grk>ἀνάμνησις</grk> remembrance
G365	<grk>ἀνανεόομαι</grk> to renew
G366	<grk>ἀνανήφω</grk> to regain senses
G367	<grk>Ἀνανίας</grk> Ananias
G368	<grk>ἀναντίρρητος</grk> indisputable
G369	<grk>ἀναντιρρήτως</grk> without objection
G370	<grk>ἀνάξιος</grk> unworthy
G371	<grk>ἀναξίως</grk> unworthily
G372	<grk>ἀνάπαυσις</grk> rest
G373	<grk>ἀναπαύω</grk> to give rest
G374	<grk>ἀναπείθω</grk> to persuade
G375	<grk>ἀναπέμπω</grk> to send back
G376	<grk>ἀνάπηρος</grk> crippled
G377	<grk>ἀναπίπτω</grk> to recline
G378	<grk>ἀναπληρόω</grk> to fulfil
G379	<grk>ἀναπολόγητος</grk> inexcusable
G380	<grk>ἀναπτύσσω</grk> to unroll
G381	<grk>ἀνάπτω</grk> to kindle
G382	<grk>ἀναρίθμητος</grk> countless
G383	<grk>ἀνασείω</grk> to incite
G384	<grk>ἀνασκευάζω</grk> to upset
G385	<grk>ἀνασπάω</grk> to pull up
G386	<grk>ἀνάστασις</grk> resurrection
G387	<grk>ἀναστατόω</grk> to cause trouble
G388	<grk>ἀνασταυρόω</grk> to recrucify
G389	<grk>ἀναστενάζω</grk> to sigh deeply
G390	<grk>ἀναστρέφω</grk> to live/return
G391	<grk>ἀναστροφή</grk> behaviour
G392	<grk>ἀνατάσσω</grk> to compile
G393	<grk>ἀνατέλλω</grk> to rise
G394	<grk>ἀνατίθημι</grk> to set before
G395	<grk>ἀνατολή</grk> east
G396	<grk>ἀνατρέπω</grk> to overturn
G397	<grk>ἀνατρέφω</grk> to bring up
G398	<grk>ἀναφαίνω</grk> to appear
G399	<grk>ἀναφέρω</grk> to carry up
G400	<grk>ἀναφωνέω</grk> to exclaim
G401	<grk>ἀνάχυσις</grk> outpouring
G402	<grk>ἀναχωρέω</grk> to leave
G403	<grk>ἀνάψυξις</grk> refreshment
G404	<grk>ἀναψύχω</grk> to refresh
G405	<grk>ἀνδραποδιστής</grk> slave-trader
G406	<grk>Ἀνδρέας</grk> Andrew
G407	<grk>ἀνδρίζω</grk> to act like a man
G408	<grk>Ἀνδρόνικος</grk> Andronicus
G409	<grk>ἀνδροφόνος</grk> murderer
G410	<grk>ἀνέγκλητος</grk> irreproachable
G411	<grk>ἀνεκδιήγητος</grk> indescribable
G412	<grk>ἀνεκλάλητος</grk> inexpressible
G413	<grk>ἀνέκλειπτος</grk> inexhaustible
G414	<grk>ἀνεκτός</grk> bearable
G415	<grk>ἀνελεήμων</grk> merciless
G416	<grk>ἀνεμίζομαι</grk> be wind-blown
G417	<grk>ἄνεμος</grk> wind
G418	<grk>ἀνένδεκτος</grk> impossible
G419	<grk>ἀνεξερεύνητος</grk> unsearchable
G420	<grk>ἀνεξίκακος</grk> not resentful
G421	<grk>ἀνεξιχνίαστος</grk> unsearchable
G422	<grk>ἀνεπαίσχυντος</grk> unashamed
G423	<grk>ἀνεπίληπτος</grk> irreproachable
G424	<grk>ἀνέρχομαι</grk> to go up
G425	<grk>ἄνεσις</grk> rest
G426	<grk>ἀνετάζω</grk> to question
G427	<grk>ἄνευ</grk> without
G428	<grk>ἀνεύθετος</grk> unsuitable
G429	<grk>ἀνευρίσκω</grk> to find
G430	<grk>ἀνέχω</grk> to endure
G431	<grk>ἀνεψιός</grk> cousin
G432	<grk>ἄνηθον</grk> dill
G433	<grk>ἀνήκω</grk> be fitting
G434	<grk>ἀνήμερος</grk> brutal
G435	<grk>ἀνήρ</grk> man
G436	<grk>ἀνθίστημι</grk> to oppose
G437	<grk>ἀνθομολογέομαι</grk> to praise
G438	<grk>ἄνθος</grk> flower
G439	<grk>ἀνθρακιά</grk> charcoal fire
G440	<grk>ἄνθραξ</grk> charcoal
G441	<grk>ἀνθρωπάρεσκος</grk> people-pleaser
G442	<grk>ἀνθρώπινος</grk> human
G443	<grk>ἀνθρωποκτόνος</grk> murderer
G444	<grk>ἄνθρωπος</grk> a human
G445	<grk>ἀνθυπατεύω</grk> to act as proconsul
G446	<grk>ἀνθύπατος</grk> proconsul
G447	<grk>ἀνίημι</grk> to loosen/leave
G448	<grk>ἀνίλεως</grk> merciless
G449	<grk>ἄνιπτος</grk> unwashed
G450	<grk>ἀνίστημι</grk> to arise
G451	<grk>Ἄννα</grk> Anna
G452	<grk>Ἄννας</grk> Annas
G453	<grk>ἀνόητος</grk> foolish
G454	<grk>ἄνοια</grk> folly
G455	<grk>ἀνοίγω</grk> to open
G456	<grk>ἀνοικοδομέω</grk> to rebuild
G457	<grk>ἄνοιξις</grk> opening
G458	<grk>ἀνομία</grk> lawlessness
G459	<grk>ἄνομος</grk> lawless
G460	<grk>ἀνόμως</grk> without law
G461	<grk>ἀνορθόω</grk> to restore
G462	<grk>ἀνόσιος</grk> unholy
G463	<grk>ἀνοχή</grk> tolerance
G464	<grk>ἀνταγωνίζομαι</grk> to struggle
G465	<grk>ἀντάλλαγμα</grk> in exchange
G466	<grk>ἀνταναπληρόω</grk> to fill up in turn
G467	<grk>ἀνταποδίδωμι</grk> to repay
G468	<grk>ἀνταπόδομα</grk> repayment
G469	<grk>ἀνταπόδοσις</grk> reward
G470	<grk>ἀνταποκρίνομαι</grk> to contradict
G471	<grk>ἀντεῖπον</grk> to contradict
G472	<grk>ἀντέχω</grk> to cling to
G473	<grk>ἀντί</grk> for
G474	<grk>ἀντιβάλλω</grk> to discuss
G475	<grk>ἀντιδιατίθημι</grk> to oppose
G476	<grk>ἀντίδικος</grk> opponent
G477	<grk>ἀντίθεσις</grk> opposition
G478	<grk>ἀντικαθίστημι</grk> to resist
G479	<grk>ἀντικαλέω</grk> to invite in return
G480	<grk>ἀντίκειμαι</grk> be an opponent
G481	<grk>ἀντικρύ</grk> opposite
G482	<grk>ἀντιλαμβάνω</grk> to help
G483	<grk>ἀντιλέγω</grk> to dispute
G484	<grk>ἀντίληψις</grk> help
G485	<grk>ἀντιλογία</grk> dispute
G486	<grk>ἀντιλοιδορέω</grk> to retaliate
G487	<grk>ἀντίλυτρον</grk> ransom
G488	<grk>ἀντιμετρέω</grk> to return
G489	<grk>ἀντιμισθία</grk> recompense
G490	<grk>Ἀντιόχεια</grk> Antioch
G491	<grk>Ἀντιοχεύς</grk> Antiochian
G492	<grk>ἀντιπαρέρχομαι</grk> to pass
G493	<grk>Ἀντίπας</grk> Antipas
G494	<grk>Ἀντιπατρίς</grk> Antipatris
G495	<grk>ἀντιπέραν</grk> opposite
G496	<grk>ἀντιπίπτω</grk> to resist
G497	<grk>ἀντιστρατεύομαι</grk> to wage war against
G498	<grk>ἀντιτάσσω</grk> to resist
G499	<grk>ἀντίτυπος</grk> representation
G500	<grk>ἀντίχριστος</grk> antichrist
G501	<grk>ἀντλέω</grk> to draw
G502	<grk>ἄντλημα</grk> bucket
G503	<grk>ἀντοφθαλμέω</grk> to face
G504	<grk>ἄνυδρος</grk> waterless
G505	<grk>ἀνυπόκριτος</grk> genuine
G506	<grk>ἀνυπότακτος</grk> insubordinate
G507	<grk>ἄνω</grk> above
G508	<grk>ἀνώγεον</grk> an upper room
G509	<grk>ἄνωθεν</grk> from above/again
G510	<grk>ἀνωτερικός</grk> interior
G511	<grk>ἀνώτερος</grk> higher
G512	<grk>ἀνωφελής</grk> useless
G513	<grk>ἀξίνη</grk> axe
G514	<grk>ἄξιος</grk> worthy
G515	<grk>ἀξιόω</grk> to deem worthy
G516	<grk>ἀξίως</grk> appropriately
G517	<grk>ἀόρατος</grk> invisible
G518	<grk>ἀπαγγέλλω</grk> to announce
G519	<grk>ἀπάγχω</grk> to strangle
G520	<grk>ἀπάγω</grk> to lead away
G521	<grk>ἀπαίδευτος</grk> uninstructed
G522	<grk>ἀπαίρω</grk> to take away
G523	<grk>ἀπαιτέω</grk> to demand
G524	<grk>ἀπαλγέω</grk> to become callous
G525	<grk>ἀπαλλάσσω</grk> to release
G526	<grk>ἀπαλλοτριόω</grk> to alienate
G527	<grk>ἁπαλός</grk> tender
G528	<grk>ἀπαντάω</grk> to meet
G529	<grk>ἀπάντησις</grk> meeting
G530	<grk>ἅπαξ</grk> once
G531	<grk>ἀπαράβατος</grk> permanent
G532	<grk>ἀπαρασκεύαστος</grk> unprepared
G533	<grk>ἀπαρνέομαι</grk> to deny
G534	<grk>ἀπαρτί</grk> henceforth
G535	<grk>ἀπαρτισμός</grk> completion
G536	<grk>ἀπαρχή</grk> firstfruits
G537	<grk>ἅπας</grk> all
G538	<grk>ἀπατάω</grk> to deceive
G539	<grk>ἀπάτη</grk> deceit
G540	<grk>ἀπάτωρ</grk> fatherless
G541	<grk>ἀπαύγασμα</grk> radiance
G542	<grk>ἀπεῖδον</grk> to fix one's eyes
G543	<grk>ἀπείθεια</grk> disobedience
G544	<grk>ἀπειθέω</grk> to disobey
G545	<grk>ἀπειθής</grk> disobedient
G546	<grk>ἀπειλέω</grk> to threaten
G547	<grk>ἀπειλή</grk> threat
G548	<grk>ἄπειμι</grk> be away
G549	<grk>ἄπειμι</grk> to go
G550	<grk>ἀπεῖπον</grk> to renounce
G551	<grk>ἀπείραστος</grk> untempted
G552	<grk>ἄπειρος</grk> unacquainted
G553	<grk>ἀπεκδέχομαι</grk> to expect
G554	<grk>ἀπεκδύομαι</grk> to take off
G555	<grk>ἀπέκδυσις</grk> removal
G556	<grk>ἀπελαύνω</grk> to eject
G557	<grk>ἀπελεγμός</grk> discredit
G558	<grk>ἀπελεύθερος</grk> freedman
G559	<grk>Ἀπελλῆς</grk> Apelles
G560	<grk>ἀπελπίζω</grk> to despair
G561	<grk>ἀπέναντι</grk> opposite
G562	<grk>ἀπέραντος</grk> endless
G563	<grk>ἀπερισπάστως</grk> undivided
G564	<grk>ἀπερίτμητος</grk> uncircumcised
G565	<grk>ἀπέρχομαι</grk> to go away
G566	<grk>ἀπέχει</grk> to receive/be far
G567	<grk>ἀπέχομαι</grk> to receive/be far
G568	<grk>ἀπέχω</grk> to have in full
G569	<grk>ἀπιστέω</grk> to disbelieve
G570	<grk>ἀπιστία</grk> unbelief
G571	<grk>ἄπιστος</grk> unbelieving
G572	<grk>ἁπλότης</grk> sincerity
G573	<grk>ἁπλοῦς</grk> sound
G574	<grk>ἁπλῶς</grk> without reserve
G575	<grk>ἀπό</grk> from
G576	<grk>ἀποβαίνω</grk> to get out
G577	<grk>ἀποβάλλω</grk> to throw away
G578	<grk>ἀποβλέπω</grk> to look ahead
G579	<grk>ἀπόβλητος</grk> rejected
G580	<grk>ἀποβολή</grk> deprivation
G581	<grk>ἀπογενόμενος</grk> to cease to be
G582	<grk>ἀπογραφή</grk> census
G583	<grk>ἀπογράφω</grk> to register
