OGNTsort	OGNTa
000258	ἀπὸ
000259	Δαυὶδ
000260	ἕως
000261	τῆς
000262	μετοικεσίας
000263	Βαβυλῶνος
000264	γενεαὶ
000265	δεκατέσσαρες
000266	καὶ
000267	ἀπὸ
000268	τῆς
000269	μετοικεσίας
000270	Βαβυλῶνος
000271	ἕως
000272	τοῦ
000273	Χριστοῦ
000274	γενεαὶ
000275	δεκατέσσαρες
000276	Τοῦ
000277	δὲ
000278	Ἰησοῦ
000279	Χριστοῦ
000280	ἡ
000281	γένεσις
000282	οὕτως
000283	ἦν
000284	μνηστευθείσης
000285	τῆς
000286	μητρὸς
000287	αὐτοῦ
000288	Μαρίας
000289	τῷ
000290	Ἰωσήφ
000291	πρὶν
000292	ἢ
000293	συνελθεῖν
000294	αὐτοὺς
000295	εὑρέθη
000296	ἐν
000297	γαστρὶ
000298	ἔχουσα
000299	ἐκ
000300	πνεύματος
000301	ἁγίου
000302	Ἰωσὴφ
000303	δὲ
000304	ὁ
000305	ἀνὴρ
000306	αὐτῆς
000307	δίκαιος
000308	ὢν
000309	καὶ
000310	μὴ
000311	θέλων
000312	αὐτὴν
000313	δειγματίσαι
000314	ἐβουλήθη
000315	λάθρᾳ
000316	ἀπολῦσαι
000317	αὐτήν
000318	Ταῦτα
000319	δὲ
000320	αὐτοῦ
000321	ἐνθυμηθέντος
000322	ἰδοὺ
000323	ἄγγελος
000324	Κυρίου
000325	κατ᾽
000326	ὄναρ
000327	ἐφάνη
000328	αὐτῷ
000329	λέγων
000330	Ἰωσὴφ
000331	υἱὸς
000332	Δαυίδ
000333	μὴ
000334	φοβηθῇς
000335	παραλαβεῖν
000336	Μαρίαν
000337	τὴν
000338	γυναῖκά
000339	σου
000340	τὸ
000341	γὰρ
000342	ἐν
000343	αὐτῇ
000344	γεννηθὲν
000345	ἐκ
000346	Πνεύματός
000347	ἐστιν
000348	Ἁγίου
000349	τέξεται
000350	δὲ
000351	υἱὸν
000352	καὶ
000353	καλέσεις
000354	τὸ
000355	ὄνομα
000356	αὐτοῦ
000357	Ἰησοῦν
000358	αὐτὸς
000359	γὰρ
000360	σώσει
000361	τὸν
000362	λαὸν
000363	αὐτοῦ
000364	ἀπὸ
000365	τῶν
000366	ἁμαρτιῶν
000367	αὐτῶν
000368	Τοῦτο
000369	δὲ
000370	ὅλον
000371	γέγονεν
000372	ἵνα
000373	πληρωθῇ
000374	τὸ
000375	ῥηθὲν
000376	ὑπὸ
000377	Κυρίου
000378	διὰ
000379	τοῦ
000380	προφήτου
000381	λέγοντος
000382	Ἰδοὺ
000383	ἡ
000384	παρθένος
000385	ἐν
000386	γαστρὶ
000387	ἕξει
000388	καὶ
000389	τέξεται
000390	υἱόν
000391	καὶ
000392	καλέσουσιν
000393	τὸ
000394	ὄνομα
000395	αὐτοῦ
000396	Ἐμμανουήλ
000397	ὅ
000398	ἐστιν
000399	μεθερμηνευόμενον
000400	Μεθ᾽
000401	ἡμῶν
000402	ὁ
000403	Θεός
000404	Ἐγερθεὶς
000405	δὲ
000406	ὁ
000407	Ἰωσὴφ
000408	ἀπὸ
000409	τοῦ
000410	ὕπνου
000411	ἐποίησεν
000412	ὡς
000413	προσέταξεν
000414	αὐτῷ
000415	ὁ
000416	ἄγγελος
000417	Κυρίου
000418	καὶ
000419	παρέλαβεν
000420	τὴν
000421	γυναῖκα
000422	αὐτοῦ
000423	καὶ
000424	οὐκ
000425	ἐγίνωσκεν
000426	αὐτὴν
000427	ἕως
000428	οὗ
000429	ἔτεκεν
000430	υἱόν
000431	καὶ
000432	ἐκάλεσεν
000433	τὸ
000434	ὄνομα
000435	αὐτοῦ
000436	Ἰησοῦν
000437	Τοῦ
000438	δὲ
000439	Ἰησοῦ
000440	γεννηθέντος
000441	ἐν
000442	Βηθλέεμ
000443	τῆς
000444	Ἰουδαίας
000445	ἐν
000446	ἡμέραις
000447	Ἡρῴδου
000448	τοῦ
000449	βασιλέως
000450	ἰδοὺ
000451	μάγοι
000452	ἀπὸ
000453	ἀνατολῶν
000454	παρεγένοντο
000455	εἰς
000456	Ἱεροσόλυμα
000457	λέγοντες
000458	Ποῦ
000459	ἐστιν
000460	ὁ
000461	τεχθεὶς
000462	βασιλεὺς
000463	τῶν
000464	Ἰουδαίων
000465	εἴδομεν
000466	γὰρ
000467	αὐτοῦ
000468	τὸν
000469	ἀστέρα
000470	ἐν
000471	τῇ
000472	ἀνατολῇ
000473	καὶ
000474	ἤλθομεν
000475	προσκυνῆσαι
000476	αὐτῷ
000477	Ἀκούσας
000478	δὲ
000479	ὁ
000480	βασιλεὺς
000481	Ἡρῴδης
000482	ἐταράχθη
000483	καὶ
000484	πᾶσα
000485	Ἱεροσόλυμα
000486	μετ᾽
000487	αὐτοῦ
000488	καὶ
000489	συναγαγὼν
000490	πάντας
000491	τοὺς
000492	ἀρχιερεῖς
000493	καὶ
000494	γραμματεῖς
000495	τοῦ
000496	λαοῦ
000497	ἐπυνθάνετο
000498	παρ᾽
000499	αὐτῶν
000500	ποῦ
000501	ὁ
000502	Χριστὸς
000503	γεννᾶται
000504	Οἱ
000505	δὲ
000506	εἶπαν
000507	αὐτῷ
000508	Ἐν
000509	Βηθλέεμ
000510	τῆς
000511	Ἰουδαίας
000512	οὕτως
000513	γὰρ
000514	γέγραπται
000515	διὰ
000516	τοῦ
000517	προφήτου
000518	Καὶ
000519	σύ
000520	Βηθλέεμ
000521	γῆ
000522	Ἰούδα
000523	οὐδαμῶς
000524	ἐλαχίστη
000525	εἶ
000526	ἐν
000527	τοῖς
000528	ἡγεμόσιν
000529	Ἰούδα
000530	ἐκ
000531	σοῦ
000532	γὰρ
000533	ἐξελεύσεται
000534	ἡγούμενος
000535	ὅστις
000536	ποιμανεῖ
000537	τὸν
000538	λαόν
000539	μου
000540	τὸν
000541	Ἰσραήλ
000542	Τότε
000543	Ἡρῴδης
000544	λάθρᾳ
000545	καλέσας
000546	τοὺς
000547	μάγους
000548	ἠκρίβωσεν
000549	παρ᾽
000550	αὐτῶν
000551	τὸν
000552	χρόνον
000553	τοῦ
000554	φαινομένου
000555	ἀστέρος
000556	καὶ
000557	πέμψας
000558	αὐτοὺς
000559	εἰς
000560	Βηθλέεμ
000561	εἶπεν
000562	Πορευθέντες
000563	ἐξετάσατε
000564	ἀκριβῶς
000565	περὶ
000566	τοῦ
000567	παιδίου
000568	ἐπὰν
000569	δὲ
000570	εὕρητε
000571	ἀπαγγείλατέ
000572	μοι
000573	ὅπως
000574	κἀγὼ
000575	ἐλθὼν
000576	προσκυνήσω
000577	αὐτῷ
000578	Οἱ
000579	δὲ
000580	ἀκούσαντες
000581	τοῦ
000582	βασιλέως
000583	ἐπορεύθησαν
000584	καὶ
000585	ἰδοὺ
000586	ὁ
000587	ἀστὴρ
000588	ὃν
000589	εἶδον
000590	ἐν
000591	τῇ
000592	ἀνατολῇ
000593	προῆγεν
000594	αὐτούς
000595	ἕως
000596	ἐλθὼν
000597	ἐστάθη
000598	ἐπάνω
000599	οὗ
000600	ἦν
000601	τὸ
000602	παιδίον
000603	ἰδόντες
000604	δὲ
000605	τὸν
000606	ἀστέρα
000607	ἐχάρησαν
000608	χαρὰν
000609	μεγάλην
000610	σφόδρα
000611	καὶ
000612	ἐλθόντες
000613	εἰς
000614	τὴν
000615	οἰκίαν
000616	εἶδον
000617	τὸ
000618	παιδίον
000619	μετὰ
000620	Μαρίας
000621	τῆς
000622	μητρὸς
000623	αὐτοῦ
000624	καὶ
000625	πεσόντες
000626	προσεκύνησαν
000627	αὐτῷ
000628	καὶ
000629	ἀνοίξαντες
000630	τοὺς
000631	θησαυροὺς
000632	αὐτῶν
000633	προσήνεγκαν
000634	αὐτῷ
000635	δῶρα
000636	χρυσὸν
000637	καὶ
000638	λίβανον
000639	καὶ
000640	σμύρναν
000641	Καὶ
000642	χρηματισθέντες
000643	κατ᾽
000644	ὄναρ
000645	μὴ
000646	ἀνακάμψαι
000647	πρὸς
000648	Ἡρῴδην
000649	δι᾽
000650	ἄλλης
000651	ὁδοῦ
000652	ἀνεχώρησαν
000653	εἰς
000654	τὴν
000655	χώραν
000656	αὐτῶν
000657	Ἀναχωρησάντων
000658	δὲ
000659	αὐτῶν
000660	ἰδοὺ
000661	ἄγγελος
000662	κυρίου
000663	φαίνεται
000664	κατ᾽
000665	ὄναρ
000666	τῷ
000667	Ἰωσὴφ
000668	λέγων
000669	Ἐγερθεὶς
000670	παράλαβε
000671	τὸ
000672	παιδίον
000673	καὶ
000674	τὴν
000675	μητέρα
000676	αὐτοῦ
000677	καὶ
000678	φεῦγε
000679	εἰς
000680	Αἴγυπτον
000681	καὶ
000682	ἴσθι
000683	ἐκεῖ
000684	ἕως
000685	ἂν
000686	εἴπω
000687	σοι
000688	μέλλει
000689	γὰρ
000690	Ἡρῴδης
000691	ζητεῖν
000692	τὸ
000693	παιδίον
000694	τοῦ
000695	ἀπολέσαι
000696	αὐτό
000697	Ὁ
000698	δὲ
000699	ἐγερθεὶς
000700	παρέλαβεν
000701	τὸ
000702	παιδίον
000703	καὶ
000704	τὴν
000705	μητέρα
000706	αὐτοῦ
000707	νυκτὸς
000708	καὶ
000709	ἀνεχώρησεν
000710	εἰς
000711	Αἴγυπτον
000712	καὶ
000713	ἦν
000714	ἐκεῖ
000715	ἕως
000716	τῆς
000717	τελευτῆς
000718	Ἡρῴδου
000719	ἵνα
000720	πληρωθῇ
000721	τὸ
000722	ῥηθὲν
000723	ὑπὸ
000724	κυρίου
000725	διὰ
000726	τοῦ
000727	προφήτου
000728	λέγοντος
000729	Ἐξ
000730	Αἰγύπτου
000731	ἐκάλεσα
000732	τὸν
000733	υἱόν
000734	μου
000735	Τότε
000736	Ἡρῴδης
000737	ἰδὼν
000738	ὅτι
000739	ἐνεπαίχθη
000740	ὑπὸ
000741	τῶν
000742	μάγων
000743	ἐθυμώθη
000744	λίαν
000745	καὶ
000746	ἀποστείλας
000747	ἀνεῖλεν
000748	πάντας
000749	τοὺς
000750	παῖδας
000751	τοὺς
000752	ἐν
000753	Βηθλέεμ
000754	καὶ
000755	ἐν
000756	πᾶσι
000757	τοῖς
000758	ὁρίοις
000759	αὐτῆς
000760	ἀπὸ
000761	διετοῦς
000762	καὶ
000763	κατωτέρω
000764	κατὰ
000765	τὸν
000766	χρόνον
000767	ὃν
000768	ἠκρίβωσεν
000769	παρὰ
000770	τῶν
000771	μάγων
000772	τότε
000773	ἐπληρώθη
000774	τὸ
000775	ῥηθὲν
000776	διὰ
000777	Ἰερεμίου
000778	τοῦ
000779	προφήτου
000780	λέγοντος
000781	Φωνὴ
000782	ἐν
000783	Ῥαμὰ
000784	ἠκούσθη
000785	κλαυθμὸς
000786	καὶ
000787	ὀδυρμὸς
000788	πολύς
000789	Ῥαχὴλ
000790	κλαίουσα
000791	τὰ
000792	τέκνα
000793	αὐτῆς
000794	καὶ
000795	οὐκ
000796	ἤθελεν
000797	παρακληθῆναι
000798	ὅτι
000799	οὐκ
000800	εἰσίν
000801	Τελευτήσαντος
000802	δὲ
000803	τοῦ
000804	Ἡρῴδου
000805	ἰδοὺ
000806	ἄγγελος
000807	Κυρίου
000808	φαίνεται
000809	κατ᾽
000810	ὄναρ
000811	τῷ
000812	Ἰωσὴφ
000813	ἐν
000814	Αἰγύπτῳ
000815	λέγων
000816	Ἐγερθεὶς
000817	παράλαβε
000818	τὸ
000819	παιδίον
000820	καὶ
000821	τὴν
000822	μητέρα
000823	αὐτοῦ
000824	καὶ
000825	πορεύου
000826	εἰς
000827	γῆν
000828	Ἰσραήλ
000829	τεθνήκασιν
000830	γὰρ
000831	οἱ
000832	ζητοῦντες
000833	τὴν
000834	ψυχὴν
000835	τοῦ
000836	παιδίου
000837	Ὁ
000838	δὲ
000839	ἐγερθεὶς
000840	παρέλαβεν
000841	τὸ
000842	παιδίον
000843	καὶ
000844	τὴν
000845	μητέρα
000846	αὐτοῦ
000847	καὶ
000848	εἰσῆλθεν
000849	εἰς
000850	γῆν
000851	Ἰσραήλ
000852	ἀκούσας
000853	δὲ
000854	ὅτι
000855	Ἀρχέλαος
000856	βασιλεύει
000857	τῆς
000858	Ἰουδαίας
000859	ἀντὶ
000860	τοῦ
000861	πατρὸς
000862	αὐτοῦ
000863	Ἡρῴδου
000864	ἐφοβήθη
000865	ἐκεῖ
000866	ἀπελθεῖν
000867	χρηματισθεὶς
000868	δὲ
000869	κατ᾽
000870	ὄναρ
000871	ἀνεχώρησεν
000872	εἰς
000873	τὰ
000874	μέρη
000875	τῆς
000876	Γαλιλαίας
000877	καὶ
000878	ἐλθὼν
000879	κατῴκησεν
000880	εἰς
000881	πόλιν
000882	λεγομένην
000883	Ναζαρέτ
000884	ὅπως
000885	πληρωθῇ
000886	τὸ
000887	ῥηθὲν
000888	διὰ
000889	τῶν
000890	προφητῶν
000891	ὅτι
000892	Ναζωραῖος
000893	κληθήσεται
000894	Ἐν
000895	δὲ
000896	ταῖς
000897	ἡμέραις
000898	ἐκείναις
000899	παραγίνεται
000900	Ἰωάννης
000901	ὁ
000902	βαπτιστὴς
000903	κηρύσσων
000904	ἐν
000905	τῇ
000906	ἐρήμῳ
000907	τῆς
000908	Ἰουδαίας
000909	καὶ
000910	λέγων
000911	Μετανοεῖτε
000912	ἤγγικεν
000913	γὰρ
000914	ἡ
000915	βασιλεία
000916	τῶν
000917	οὐρανῶν
000918	οὗτος
000919	γάρ
000920	ἐστιν
000921	ὁ
000922	ῥηθεὶς
000923	διὰ
000924	Ἠσαΐου
000925	τοῦ
000926	προφήτου
000927	λέγοντος
000928	Φωνὴ
000929	βοῶντος
000930	ἐν
000931	τῇ
000932	ἐρήμῳ
000933	Ἑτοιμάσατε
000934	τὴν
000935	ὁδὸν
000936	Κυρίου
000937	εὐθείας
000938	ποιεῖτε
000939	τὰς
000940	τρίβους
000941	αὐτοῦ
000942	Αὐτὸς
000943	δὲ
000944	ὁ
000945	Ἰωάννης
000946	εἶχεν
000947	τὸ
000948	ἔνδυμα
000949	αὐτοῦ
000950	ἀπὸ
000951	τριχῶν
000952	καμήλου
000953	καὶ
000954	ζώνην
000955	δερματίνην
000956	περὶ
000957	τὴν
000958	ὀσφὺν
000959	αὐτοῦ
000960	ἡ
000961	δὲ
000962	τροφὴ
000963	ἦν
000964	αὐτοῦ
000965	ἀκρίδες
000966	καὶ
000967	μέλι
000968	ἄγριον
000969	Τότε
000970	ἐξεπορεύετο
000971	πρὸς
000972	αὐτὸν
000973	Ἱεροσόλυμα
000974	καὶ
000975	πᾶσα
000976	ἡ
000977	Ἰουδαία
000978	καὶ
000979	πᾶσα
000980	ἡ
000981	περίχωρος
000982	τοῦ
000983	Ἰορδάνου
000984	καὶ
000985	ἐβαπτίζοντο
000986	ἐν
000987	τῷ
000988	Ἰορδάνῃ
000989	ποταμῷ
000990	ὑπ᾽
000991	αὐτοῦ
000992	ἐξομολογούμενοι
000993	τὰς
000994	ἁμαρτίας
000995	αὐτῶν
000996	Ἰδὼν
000997	δὲ
000998	πολλοὺς
000999	τῶν
001000	Φαρισαίων
001001	καὶ
001002	Σαδδουκαίων
001003	ἐρχομένους
001004	ἐπὶ
001005	τὸ
001006	βάπτισμα
001007	αὐτοῦ
001008	εἶπεν
001009	αὐτοῖς
001010	Γεννήματα
001011	ἐχιδνῶν
001012	τίς
001013	ὑπέδειξεν
001014	ὑμῖν
001015	φυγεῖν
001016	ἀπὸ
001017	τῆς
001018	μελλούσης
001019	ὀργῆς
001020	ποιήσατε
001021	οὖν
001022	καρπὸν
001023	ἄξιον
001024	τῆς
001025	μετανοίας
001026	καὶ
001027	μὴ
001028	δόξητε
001029	λέγειν
001030	ἐν
001031	ἑαυτοῖς
001032	Πατέρα
001033	ἔχομεν
001034	τὸν
001035	Ἀβραάμ
001036	λέγω
001037	γὰρ
001038	ὑμῖν
001039	ὅτι
001040	δύναται
001041	ὁ
001042	Θεὸς
001043	ἐκ
001044	τῶν
001045	λίθων
001046	τούτων
001047	ἐγεῖραι
001048	τέκνα
001049	τῷ
001050	Ἀβραάμ
001051	ἤδη
001052	δὲ
001053	ἡ
001054	ἀξίνη
001055	πρὸς
001056	τὴν
001057	ῥίζαν
001058	τῶν
001059	δένδρων
001060	κεῖται
001061	πᾶν
001062	οὖν
001063	δένδρον
001064	μὴ
001065	ποιοῦν
001066	καρπὸν
001067	καλὸν
001068	ἐκκόπτεται
001069	καὶ
001070	εἰς
001071	πῦρ
001072	βάλλεται
001073	Ἐγὼ
001074	μὲν
001075	ὑμᾶς
001076	βαπτίζω
001077	ἐν
001078	ὕδατι
001079	εἰς
001080	μετάνοιαν
001081	ὁ
001082	δὲ
001083	ὀπίσω
001084	μου
001085	ἐρχόμενος
001086	ἰσχυρότερός
001087	μού
001088	ἐστιν
001089	οὗ
001090	οὐκ
001091	εἰμὶ
001092	ἱκανὸς
001093	τὰ
001094	ὑποδήματα
001095	βαστάσαι
001096	αὐτὸς
001097	ὑμᾶς
001098	βαπτίσει
001099	ἐν
001100	Πνεύματι
001101	Ἁγίῳ
001102	καὶ
001103	πυρί
001104	οὗ
001105	τὸ
001106	πτύον
001107	ἐν
001108	τῇ
001109	χειρὶ
001110	αὐτοῦ
001111	καὶ
001112	διακαθαριεῖ
001113	τὴν
001114	ἅλωνα
001115	αὐτοῦ
001116	καὶ
001117	συνάξει
001118	τὸν
001119	σῖτον
001120	αὐτοῦ
001121	εἰς
001122	τὴν
001123	ἀποθήκην
001124	τὸ
001125	δὲ
001126	ἄχυρον
001127	κατακαύσει
001128	πυρὶ
001129	ἀσβέστῳ
001130	Τότε
001131	παραγίνεται
001132	ὁ
001133	Ἰησοῦς
001134	ἀπὸ
001135	τῆς
001136	Γαλιλαίας
001137	ἐπὶ
001138	τὸν
001139	Ἰορδάνην
001140	πρὸς
001141	τὸν
001142	Ἰωάννην
001143	τοῦ
001144	βαπτισθῆναι
001145	ὑπ᾽
001146	αὐτοῦ
001147	ὁ
001148	δὲ
001149	Ἰωάννης
001150	διεκώλυεν
001151	αὐτὸν
001152	λέγων
001153	Ἐγὼ
001154	χρείαν
001155	ἔχω
001156	ὑπὸ
001157	σοῦ
001158	βαπτισθῆναι
001159	καὶ
001160	σὺ
001161	ἔρχῃ
001162	πρός
001163	με
001164	Ἀποκριθεὶς
001165	δὲ
001166	ὁ
001167	Ἰησοῦς
001168	εἶπεν
001169	πρὸς
001170	αὐτόν
001171	Ἄφες
001172	ἄρτι
001173	οὕτως
001174	γὰρ
001175	πρέπον
001176	ἐστὶν
001177	ἡμῖν
001178	πληρῶσαι
001179	πᾶσαν
001180	δικαιοσύνην
001181	τότε
001182	ἀφίησιν
001183	αὐτόν
001184	Βαπτισθεὶς
001185	δὲ
001186	ὁ
001187	Ἰησοῦς
001188	εὐθὺς
001189	ἀνέβη
001190	ἀπὸ
001191	τοῦ
001192	ὕδατος
001193	καὶ
001194	ἰδοὺ
001195	ἠνεῴχθησαν
001196	αὐτῷ
001197	οἱ
001198	οὐρανοί
001199	καὶ
001200	εἶδεν
001201	τὸ
001202	Πνεῦμα
001203	τοῦ
001204	Θεοῦ
001205	καταβαῖνον
001206	ὡσεὶ
001207	περιστερὰν
001208	καὶ
001209	ἐρχόμενον
001210	ἐπ᾽
001211	αὐτόν
001212	καὶ
001213	ἰδοὺ
001214	φωνὴ
001215	ἐκ
001216	τῶν
001217	οὐρανῶν
001218	λέγουσα
001219	Οὗτός
001220	ἐστιν
001221	ὁ
001222	Υἱός
001223	μου
001224	ὁ
001225	ἀγαπητός
001226	ἐν
001227	ᾧ
001228	εὐδόκησα
001229	Τότε
001230	ὁ
001231	Ἰησοῦς
001232	ἀνήχθη
001233	εἰς
001234	τὴν
001235	ἔρημον
001236	ὑπὸ
001237	τοῦ
001238	Πνεύματος
001239	πειρασθῆναι
001240	ὑπὸ
001241	τοῦ
001242	διαβόλου
001243	καὶ
001244	νηστεύσας
001245	ἡμέρας
001246	τεσσεράκοντα
001247	καὶ
001248	νύκτας
001249	τεσσεράκοντα
001250	ὕστερον
001251	ἐπείνασεν
001252	Καὶ
001253	προσελθὼν
001254	ὁ
001255	πειράζων
001256	εἶπεν
001257	αὐτῷ
001258	Εἰ
001259	Υἱὸς
001260	εἶ
001261	τοῦ
001262	Θεοῦ
001263	εἰπὲ
001264	ἵνα
001265	οἱ
001266	λίθοι
001267	οὗτοι
001268	ἄρτοι
001269	γένωνται
001270	Ὁ
001271	δὲ
001272	ἀποκριθεὶς
001273	εἶπεν
001274	Γέγραπται
001275	Οὐκ
001276	ἐπ᾽
001277	ἄρτῳ
001278	μόνῳ
001279	ζήσεται
001280	ὁ
001281	ἄνθρωπος
001282	Ἀλλ᾽
001283	ἐπὶ
001284	παντὶ
001285	ῥήματι
001286	ἐκπορευομένῳ
001287	διὰ
001288	στόματος
001289	Θεοῦ
001290	Τότε
001291	παραλαμβάνει
001292	αὐτὸν
001293	ὁ
001294	διάβολος
001295	εἰς
001296	τὴν
001297	ἁγίαν
001298	πόλιν
001299	καὶ
001300	ἔστησεν
001301	αὐτὸν
001302	ἐπὶ
001303	τὸ
001304	πτερύγιον
001305	τοῦ
001306	ἱεροῦ
001307	καὶ
001308	λέγει
001309	αὐτῷ
001310	Εἰ
001311	Υἱὸς
001312	εἶ
001313	τοῦ
001314	Θεοῦ
001315	βάλε
001316	σεαυτὸν
001317	κάτω
001318	γέγραπται
001319	γὰρ
001320	ὅτι
001321	Τοῖς
001322	ἀγγέλοις
001323	αὐτοῦ
001324	ἐντελεῖται
001325	περὶ
001326	σοῦ
001327	καὶ
001328	ἐπὶ
001329	χειρῶν
001330	ἀροῦσίν
001331	σε
001332	μήποτε
001333	προσκόψῃς
001334	πρὸς
001335	λίθον
001336	τὸν
001337	πόδα
001338	σου
001339	Ἔφη
001340	αὐτῷ
001341	ὁ
001342	Ἰησοῦς
001343	Πάλιν
001344	γέγραπται
001345	Οὐκ
001346	ἐκπειράσεις
001347	Κύριον
001348	τὸν
001349	Θεόν
001350	σου
001351	Πάλιν
001352	παραλαμβάνει
001353	αὐτὸν
001354	ὁ
001355	διάβολος
001356	εἰς
001357	ὄρος
001358	ὑψηλὸν
001359	λίαν
001360	καὶ
001361	δείκνυσιν
001362	αὐτῷ
001363	πάσας
