G1	Ἀλφα alpha
G212	ἀλαζονεία boasting
G213	ἀλαζών braggart
G214	ἀλαλάζω to wail
G215	ἀλάλητος inexpressible
G216	ἄλαλος mute
G217	ἅλας salt
G218	ἀλείφω to anoint
G219	ἀλεκτοροφωνία crowing
G220	ἀλέκτωρ rooster
G221	Ἀλεξανδρεύς Alexandrian
G222	Ἀλεξανδρῖνος Alexandrian
G223	Ἀλέξανδρος Alexander
G224	ἄλευρον flour
G225	ἀλήθεια truth
G226	ἀληθεύω be truthful
G227	ἀληθής true
G228	ἀληθινός true
G229	ἀλήθω to grind
G230	ἀληθῶς truly
G231	ἁλιεύς fisherman
G232	ἁλιεύω to fish
G233	ἁλίζω to salt
G234	ἀλίσγημα defilement
G235	ἀλλά but
G236	ἀλλάσσω to change
G237	ἀλλαχόθεν from elsewhere
G238	ἀλληγορέω to use an analogy
G239	ἀλληλουϊα hallelujah
G240	ἀλλήλων one another
G241	ἀλλογενής foreign
G242	ἅλλομαι to spring
G243	ἄλλος another
G244	ἀλλοτριεπίσκοπος meddler
G245	ἀλλότριος another’s
G246	ἀλλόφυλος foreigner
G247	ἄλλως otherwise
G248	ἀλοάω to thresh
G249	ἄλογος unreasonable
G250	ἀλόη aloes
G251	ἅλς salt
G252	ἁλυκός salty
G253	ἄλυπος without anxiety
G254	ἅλυσις chain
G255	ἀλυσιτελής unprofitable
G256	Ἀλφαῖος Alphaeus
G257	ἅλων threshing-floor
G258	ἀλώπηξ fox
G259	ἅλωσις capture
G260	ἅμα together
G261	ἀμαθής ignorant
G262	ἀμαράντινος unfading
G263	ἀμάραντος unfading
G264	ἁμαρτάνω to sin
G265	ἁμάρτημα sin
G266	ἁμαρτία sin
G267	ἀμάρτυρος without witness
G268	ἁμαρτωλός sinful
G269	ἄμαχος peacable
G270	ἀμάω to mow
G271	ἀμέθυστος amethyst
G272	ἀμελέω to neglect
G273	ἄμεμπτος blameless
G274	ἀμέμπτως blamelessly
G275	ἀμέριμνος untroubled
G276	ἀμετάθετος unchangeable
G277	ἀμετακίνητος immovable
G278	ἀμεταμέλητος irrevocable
G279	ἀμετανόητος unrepentant
G280	ἄμετρος immoderate
G281	ἀμήν amen
G282	ἀμήτωρ motherless
G283	ἀμίαντος pure
G284	Ἀμιναδάβ Amminadab
G285	ἄμμος sand
G286	ἀμνός lamb
G287	ἀμοιβή repayment
G288	ἄμπελος vine
G289	ἀμπελουργός a vine-worker
G290	ἀμπελών vineyard
G291	Ἀμπλίας Ampliatus
G292	ἀμύνω to defend
G293	ἀμφίβληστρον net
G294	ἀμφιέννυμι to clothe
G295	Ἀμφίπολις Amphipolis
G296	ἄμφοδον street
G297	ἀμφότερος both
G298	ἀμώμητος blameless
G299	ἄμωμος blameless
G300	Ἀμών Amon
G301	Ἀμώς Amos
G302	ἄν if
G303	ἀνά each
G304	ἀναβαθμός stairs
G305	ἀναβαίνω to ascend
G306	ἀναβάλλω to defer
G307	ἀναβιβάζω to pull up
G308	ἀναβλέπω to look up/see again
G309	ἀνάβλεψις recovery of sight
G310	ἀναβοάω to cry out
G311	ἀναβολή delay
G312	ἀναγγέλλω to report
G313	ἀναγεννάω to beget
G314	ἀναγινώσκω to read
G315	ἀναγκάζω to compel
G316	ἀναγκαῖος necessary
G317	ἀναγκαστῶς necessarily
G318	ἀνάγκη necessity
G319	ἀναγνωρίζω to recognize
G320	ἀνάγνωσις reading
G321	ἀνάγω to lead
G322	ἀναδείκνυμι to appoint
G323	ἀνάδειξις public appearance
G324	ἀναδέχομαι to receive
G325	ἀναδίδωμι to deliver
G326	ἀναζάω to revive
G327	ἀναζητέω to search
G328	ἀναζώννυμι to gird
G329	ἀναζωπυρέω to rekindle
G330	ἀναθάλλω to renew
G331	ἀνάθεμα devoted
G332	ἀναθεματίζω to take an oath
G333	ἀναθεωρέω to contemplate
G334	ἀνάθημα a vow offering
G335	ἀναίδεια shamelessnes
G336	ἀναίρεσις murder
G337	ἀναιρέω to do away with
G338	ἀναίτιος innocent
G339	ἀνακαθίζω to sit up
G340	ἀνακαινίζω to restore
G341	ἀνακαινόω to renew
G342	ἀνακαίνωσις renewal
G343	ἀνακαλύπτω to unveil
G344	ἀνακάμπτω to return
G345	ἀνάκειμαι to recline
G346	ἀνακεφαλαιόομαι to summarise
G347	ἀνακλίνω to recline
G348	ἀνακόπτω to hinder
G349	ἀνακράζω to yell
G350	ἀνακρίνω to investigate
G351	ἀνάκρισις investigation
G352	ἀνακύπτω to straighten up
G353	ἀναλαμβάνω to take up
G354	ἀνάληψις ascension
G355	ἀναλίσκω to consume
G356	ἀναλογία proportion
G357	ἀναλογίζομαι to consider
G358	ἄναλος unsalty
G359	ἀνάλυσις departure
G360	ἀναλύω to depart
G361	ἀναμάρτητος sinless
G362	ἀναμένω to await
G363	ἀναμιμνήσκω to remind
G364	ἀνάμνησις remembrance
G365	ἀνανεόομαι to renew
G366	ἀνανήφω to regain senses
G367	Ἀνανίας Ananias
G368	ἀναντίρρητος indisputable
G369	ἀναντιρρήτως without objection
G370	ἀνάξιος unworthy
G371	ἀναξίως unworthily
G372	ἀνάπαυσις rest
G373	ἀναπαύω to give rest
G374	ἀναπείθω to persuade
G375	ἀναπέμπω to send back
G376	ἀνάπηρος crippled
G377	ἀναπίπτω to recline
G378	ἀναπληρόω to fulfil
G379	ἀναπολόγητος inexcusable
G380	ἀναπτύσσω to unroll
G381	ἀνάπτω to kindle
G382	ἀναρίθμητος countless
G383	ἀνασείω to incite
G384	ἀνασκευάζω to upset
G385	ἀνασπάω to pull up
G386	ἀνάστασις resurrection
G387	ἀναστατόω to cause trouble
G388	ἀνασταυρόω to recrucify
G389	ἀναστενάζω to sigh deeply
G390	ἀναστρέφω to live/return
G391	ἀναστροφή behaviour
G392	ἀνατάσσω to compile
G393	ἀνατέλλω to rise
G394	ἀνατίθημι to set before
G395	ἀνατολή east
G396	ἀνατρέπω to overturn
G397	ἀνατρέφω to bring up
G398	ἀναφαίνω to appear
G399	ἀναφέρω to carry up
G400	ἀναφωνέω to exclaim
G401	ἀνάχυσις outpouring
G402	ἀναχωρέω to leave
G403	ἀνάψυξις refreshment
G404	ἀναψύχω to refresh
G405	ἀνδραποδιστής slave-trader
G406	Ἀνδρέας Andrew
G407	ἀνδρίζω to act like a man
G408	Ἀνδρόνικος Andronicus
G409	ἀνδροφόνος murderer
G410	ἀνέγκλητος irreproachable
G411	ἀνεκδιήγητος indescribable
G412	ἀνεκλάλητος inexpressible
G413	ἀνέκλειπτος inexhaustible
G414	ἀνεκτός bearable
G415	ἀνελεήμων merciless
G416	ἀνεμίζομαι be wind-blown
G417	ἄνεμος wind
G418	ἀνένδεκτος impossible
G419	ἀνεξερεύνητος unsearchable
G420	ἀνεξίκακος not resentful
G421	ἀνεξιχνίαστος unsearchable
G422	ἀνεπαίσχυντος unashamed
G423	ἀνεπίληπτος irreproachable
G424	ἀνέρχομαι to go up
G425	ἄνεσις rest
G426	ἀνετάζω to question
G427	ἄνευ without
G428	ἀνεύθετος unsuitable
G429	ἀνευρίσκω to find
G430	ἀνέχω to endure
G431	ἀνεψιός cousin
G432	ἄνηθον dill
G433	ἀνήκω be fitting
G434	ἀνήμερος brutal
G435	ἀνήρ man
G436	ἀνθίστημι to oppose
G437	ἀνθομολογέομαι to praise
G438	ἄνθος flower
G439	ἀνθρακιά charcoal fire
G440	ἄνθραξ charcoal
G441	ἀνθρωπάρεσκος people-pleaser
G442	ἀνθρώπινος human
G443	ἀνθρωποκτόνος murderer
G444	ἄνθρωπος a human
G445	ἀνθυπατεύω to act as proconsul
G446	ἀνθύπατος proconsul
G447	ἀνίημι to loosen/leave
G448	ἀνίλεως merciless
G449	ἄνιπτος unwashed
G450	ἀνίστημι to arise
G451	Ἄννα Anna
G452	Ἄννας Annas
G453	ἀνόητος foolish
G454	ἄνοια folly
G455	ἀνοίγω to open
G456	ἀνοικοδομέω to rebuild
G457	ἄνοιξις opening
G458	ἀνομία lawlessness
G459	ἄνομος lawless
G460	ἀνόμως without law
G461	ἀνορθόω to restore
G462	ἀνόσιος unholy
G463	ἀνοχή tolerance
G464	ἀνταγωνίζομαι to struggle
G465	ἀντάλλαγμα in exchange
G466	ἀνταναπληρόω to fill up in turn
G467	ἀνταποδίδωμι to repay
G468	ἀνταπόδομα repayment
G469	ἀνταπόδοσις reward
G470	ἀνταποκρίνομαι to contradict
G471	ἀντεῖπον to contradict
G472	ἀντέχω to cling to
G473	ἀντί for
G474	ἀντιβάλλω to discuss
G475	ἀντιδιατίθημι to oppose
G476	ἀντίδικος opponent
G477	ἀντίθεσις opposition
G478	ἀντικαθίστημι to resist
G479	ἀντικαλέω to invite in return
G480	ἀντίκειμαι be an opponent
G481	ἀντικρύ opposite
G482	ἀντιλαμβάνω to help
G483	ἀντιλέγω to dispute
G484	ἀντίληψις help
G485	ἀντιλογία dispute
G486	ἀντιλοιδορέω to retaliate
G487	ἀντίλυτρον ransom
G488	ἀντιμετρέω to return
G489	ἀντιμισθία recompense
G490	Ἀντιόχεια Antioch
G491	Ἀντιοχεύς Antiochian
G492	ἀντιπαρέρχομαι to pass
G493	Ἀντίπας Antipas
G494	Ἀντιπατρίς Antipatris
G495	ἀντιπέραν opposite
G496	ἀντιπίπτω to resist
G497	ἀντιστρατεύομαι to wage war against
G498	ἀντιτάσσω to resist
G499	ἀντίτυπος representation
G500	ἀντίχριστος antichrist
G501	ἀντλέω to draw
G502	ἄντλημα bucket
G503	ἀντοφθαλμέω to face
G504	ἄνυδρος waterless
G505	ἀνυπόκριτος genuine
G506	ἀνυπότακτος insubordinate
G507	ἄνω above
G508	ἀνώγεον an upper room
G509	ἄνωθεν from above/again
G510	ἀνωτερικός interior
G511	ἀνώτερος higher
G512	ἀνωφελής useless
G513	ἀξίνη axe
G514	ἄξιος worthy
G515	ἀξιόω to deem worthy
G516	ἀξίως appropriately
G517	ἀόρατος invisible
G518	ἀπαγγέλλω to announce
G519	ἀπάγχω to strangle
G520	ἀπάγω to lead away
G521	ἀπαίδευτος uninstructed
G522	ἀπαίρω to take away
G523	ἀπαιτέω to demand
G524	ἀπαλγέω to become callous
G525	ἀπαλλάσσω to release
G526	ἀπαλλοτριόω to alienate
G527	ἁπαλός tender
G528	ἀπαντάω to meet
G529	ἀπάντησις meeting
G530	ἅπαξ once
G531	ἀπαράβατος permanent
G532	ἀπαρασκεύαστος unprepared
G533	ἀπαρνέομαι to deny
G534	ἀπαρτί henceforth
G535	ἀπαρτισμός completion
G536	ἀπαρχή firstfruits
G537	ἅπας all
G538	ἀπατάω to deceive
G539	ἀπάτη deceit
G540	ἀπάτωρ fatherless
G541	ἀπαύγασμα radiance
G542	ἀπεῖδον to fix one's eyes
G543	ἀπείθεια disobedience
G544	ἀπειθέω to disobey
G545	ἀπειθής disobedient
G546	ἀπειλέω to threaten
G547	ἀπειλή threat
G548	ἄπειμι be away
G549	ἄπειμι to go
G550	ἀπεῖπον to renounce
G551	ἀπείραστος untempted
G552	ἄπειρος unacquainted
G553	ἀπεκδέχομαι to expect
G554	ἀπεκδύομαι to take off
G555	ἀπέκδυσις removal
G556	ἀπελαύνω to eject
G557	ἀπελεγμός discredit
G558	ἀπελεύθερος freedman
G559	Ἀπελλῆς Apelles
G560	ἀπελπίζω to despair
G561	ἀπέναντι opposite
G562	ἀπέραντος endless
G563	ἀπερισπάστως undivided
G564	ἀπερίτμητος uncircumcised
G565	ἀπέρχομαι to go away
G566	ἀπέχει to receive/be far
G567	ἀπέχομαι to receive/be far
G568	ἀπέχω to have in full
G569	ἀπιστέω to disbelieve
G570	ἀπιστία unbelief
G571	ἄπιστος unbelieving
G572	ἁπλότης sincerity
G573	ἁπλοῦς sound
G574	ἁπλῶς without reserve
G575	ἀπό from
G576	ἀποβαίνω to get out
G577	ἀποβάλλω to throw away
G578	ἀποβλέπω to look ahead
G579	ἀπόβλητος rejected
G580	ἀποβολή deprivation
G581	ἀπογενόμενος to cease to be
G582	ἀπογραφή census
G583	ἀπογράφω to register
G584	ἀποδείκνυμι to display
G585	ἀπόδειξις demonstration
G586	ἀποδεκατόω to tithe
G587	ἀπόδεκτος pleasing
G588	ἀποδέχομαι to welcome
G589	ἀποδημέω to go abroad
G590	ἀπόδημος absent
G591	ἀποδίδωμι to pay
G592	ἀποδιορίζω to divide
G593	ἀποδοκιμάζω to reject
G594	ἀποδοχή acceptance
G595	ἀπόθεσις removal
G596	ἀποθήκη storehouse
G597	ἀποθησαυρίζω to store up
G598	ἀποθλίβω to crowd up to
G599	ἀποθνήσκω to die
G600	ἀποκαθίστημι to restore
G601	ἀποκαλύπτω to reveal
G602	ἀποκάλυψις revelation
G603	ἀποκαραδοκία eager expectation
G604	ἀποκαταλλάσσω to reconcile
G605	ἀποκατάστασις restoration
G606	ἀπόκειμαι to lay up
G607	ἀποκεφαλίζω to behead
G608	ἀποκλείω to shut
G609	ἀποκόπτω to cut off
G610	ἀπόκριμα verdict
G611	ἀποκρίνω to answer
G612	ἀπόκρισις answer
G613	ἀποκρύπτω to conceal
G614	ἀπόκρυφος concealed
G615	ἀποκτείνω to kill
G616	ἀποκυέω to generate
G617	ἀποκυλίω to roll away
G618	ἀπολαμβάνω to get back
G619	ἀπόλαυσις enjoyment
G620	ἀπολείπω to leave
G621	ἀπολείχω to lick
G622	ἀπολλύω to destroy
G623	Ἀπολλύων Apollyon
G624	Ἀπολλωνία Apollonia
G625	Ἀπολλῶς Apollos
G626	ἀπολογέομαι to defend oneself
G627	ἀπολογία defence
G628	ἀπολούω to wash off
G629	ἀπολύτρωσις redemption
G630	ἀπολύω to release
G631	ἀπομάσσω to wipe off
G632	ἀπονέμω to render as due
G633	ἀπονίπτω to wash off
G634	ἀποπίπτω to fall from
G635	ἀποπλανάω to mislead
G636	ἀποπλέω to set sail
G637	ἀποπλύνω to wash off
G638	ἀποπνίγω to choke
G639	ἀπορέω be perplexed
G640	ἀπορία perplexity
G641	ἀπορρίπτω to throw off
G642	ἀπορφανίζω to orphan
G643	ἀποσκευάζω to pack up
G644	ἀποσκίασμα shadow
G645	ἀποσπάω to draw away
G646	ἀποστασία apostasy
G647	ἀποστάσιον divorce
G648	ἀποστεγάζω to unroof
G649	ἀποστέλλω to send
G650	ἀποστερέω to defraud
G651	ἀποστολή apostleship
G652	ἀπόστολος apostle
G653	ἀποστοματίζω to interrogate
G654	ἀποστρέφω to turn away
G655	ἀποστυγέω to abhor
G656	ἀποσυνάγωγος excommunicated
G657	ἀποτάσσω to leave
G658	ἀποτελέω to complete
G659	ἀποτίθημι to put aside
G660	ἀποτινάσσω to shake off
G661	ἀποτίνω to repay
G662	ἀποτολμάω be bold
G663	ἀποτομία severity
G664	ἀποτόμως severely
G665	ἀποτρέπω to avoid
G666	ἀπουσία absence
G667	ἀποφέρω to carry off
G668	ἀποφεύγω to escape
G669	ἀποφθέγγομαι to declare
G670	ἀποφορτίζομαι to unload
G671	ἀπόχρησις using up
G672	ἀποχωρέω to leave
G673	ἀποχωρίζω to separate from
G674	ἀποψύχω to faint
G675	Ἄππιος Appius
G676	ἀπρόσιτος unapproachable
G677	ἀπρόσκοπος not giving offence
G678	ἀπροσωπολήπτως impartially
G679	ἄπταιστος without falling
G680	ἅπτω to touch
G681	ἅπτω to kindle
G682	Ἀπφία Apphia
G683	ἀπωθέω to reject
G684	ἀπώλεια destruction
G685	ἀρά curse
G686	ἄρα therefore
G687	ἆρα no?
G688	Ἀραβία Arabia
G689	Ἀράμ Aram
G690	Ἄραψ Arabian
G691	ἀργέω be idle
G692	ἀργός idle
G693	ἀργύρεος silver
G694	ἀργύριον silver
G695	ἀργυροκόπος silversmith
G696	ἄργυρος silver
G697	Ἄρειος Πάγος Mars' Hill
G698	Ἀρεοπαγίτης Areopagite
G699	ἀρεσκεία pleasing
G700	ἀρέσκω to please
G701	ἀρεστός pleasing
G702	Ἀρέτας Aretas
G703	ἀρετή virtue
G704	ἀρήν lamb
G705	ἀριθμέω to number
G706	ἀριθμός number
G707	Ἀριμαθαία Arimathea
G708	Ἀρίσταρχος Aristarchus
G709	ἀριστάω to eat early meal
G710	ἀριστερός left
G711	Ἀριστόβουλος Aristobulus
G712	ἄριστον early meal
G713	ἀρκετός sufficient
G714	ἀρκέω be sufficient
G715	ἄρκτος bear
G716	ἅρμα chariot
G717	Ἀρμαγεδδών Armageddon
G718	ἁρμόζω to betroth
G719	ἁρμός joint
G720	ἀρνέομαι to deny
G721	ἀρνίον lamb
G722	ἀροτριάω to plow
G723	ἄροτρον plow
G724	ἁρπαγή plunder
G725	ἁρπαγμός something to grasp
G726	ἁρπάζω to seize
G727	ἅρπαξ rapacious
G728	ἀρραβών guarantee
G729	ἄρραφος seamless
G730	ἄρρην, ἄρσην male
G731	ἄρρητος inexpressible
G732	ἄρρωστος ill
G733	ἀρσενοκοίτης sodomy
G734	Ἀρτεμάς Artemas
G735	Ἄρτεμις Artemis
G736	ἀρτέμων foresail
G737	ἄρτι now
G738	ἀρτιγέννητος newborn
G739	ἄρτιος competent
G740	ἄρτος bread
G741	ἀρτύω to season
G742	Ἀρφαξάδ Arphaxad
G743	ἀρχάγγελος archangel
G744	ἀρχαῖος ancient
G745	Ἀρχέλαος Archelaus
G746	ἀρχή beginning
G747	ἀρχηγός founder
G748	ἀρχιερατικός high-priestly
G749	ἀρχιερεύς high-priest
G750	ἀρχιποίμην chief shepherd
G751	Ἄρχιππος Archippus
G752	ἀρχισυνάγωγος synagogue leader
G753	ἀρχιτέκτων master-builder
G754	ἀρχιτελώνης chief tax collector
G755	ἀρχιτρίκλινος head waiter
G756	ἄρχομαι to rule/begin
G757	ἄρχω be first
G758	ἄρχων ruler
G759	ἄρωμα spices
G760	Ἀσά Asa
G761	ἀσάλευτος unshakable
G762	ἄσβεστος unquenchable
G763	ἀσέβεια ungodlinessness
G764	ἀσεβέω be ungodly
G765	ἀσεβής ungodly
G766	ἀσέλγεια debauchery
G767	ἄσημος insignificant
G768	Ἀσήρ Asher
G769	ἀσθένεια weakness
G770	ἀσθενέω be weak
G771	ἀσθένημα weakness
G772	ἀσθενής weak
G773	Ἀσία Asia
G774	Ἀσιανός Asian
G775	Ἀσιάρχης Asiarch
G776	ἀσιτία fasting
G777	ἄσιτος fasting
G778	ἀσκέω to strive
G779	ἀσκός wineskin
G780	ἀσμένως gladly
G781	ἄσοφος unwise
G782	ἀσπάζομαι to pay respects to
G783	ἀσπασμός salutation
G784	ἄσπιλος spotless
G785	ἀσπίς asp
G786	ἄσπονδος irreconcilable
G787	ἀσσάριον assarion
G788	ἆσσον nearer
G789	Ἄσσος Assos
G790	ἀστατέω be unsettled
G791	ἀστεῖος beautiful
G792	ἀστήρ star
G793	ἀστήρικτος unstable
G794	ἄστοργος unfeeling
G795	ἀστοχέω to deviate
G796	ἀστραπή lightning
G797	ἀστράπτω to flash
G798	ἄστρον star
G799	Ἀσύγκριτος Asyncritus
G800	ἀσύμφωνος discordant
G801	ἀσύνετος senseless
G802	ἀσύνθετος untrustworthy
G803	ἀσφάλεια security
G804	ἀσφαλής secure
G805	ἀσφαλίζω to secure
G806	ἀσφαλῶς securely
G807	ἀσχημονέω to act improperly
G808	ἀσχημοσύνη indecency
G809	ἀσχήμων indecent
G810	ἀσωτία debauchery
G811	ἀσώτως in debauchery
G812	ἀτακτέω be idle
G813	ἄτακτος disorderly
G814	ἀτάκτως idly
G815	ἄτεκνος childless
G816	ἀτενίζω to gaze
G817	ἄτερ without
G818	ἀτιμάζω to dishonor
G819	ἀτιμία dishonour
G820	ἄτιμος dishonored
G821	ἀτιμόω to dishonor
G822	ἀτμίς vapor
G823	ἄτομος instant
G824	ἄτοπος wrong
G825	Ἀττάλεια Attalia
G826	αὐγάζω to see
G827	αὐγή daybreak
G828	Αὔγουστος Augustus
G829	αὐθάδης self-willed
G830	αὐθαίρετος self-chosen
G831	αὐθεντέω to domineer
G832	αὐλέω to play the flute
G833	αὐλή palace/courtyard
G834	αὐλητής flute player
G835	αὐλίζομαι to spend the night
G836	αὐλός flute
G837	αὐξάνω to grow
G838	αὔξησις growth
G839	αὔριον tomorrow
G840	αὐστηρός severe
G841	αὐτάρκεια self-sufficiency
G842	αὐτάρκης self-sufficient
G843	αὐτοκατάκριτος self-condemned
G844	αὐτόματος by itself
G845	αὐτόπτης eyewitness
G846	αὐτός he/she/it/self
G847	αὐτοῦ there
G848	αὑτοῦ him/herself
G849	αὐτόχειρ with one’s own hand
G850	αὐχμηρός dingy
G851	ἀφαιρέω to remove
G852	ἀφανής hidden
G853	ἀφανίζω to destroy
G854	ἀφανισμός disappearance
G855	ἄφαντος disappearing
G856	ἀφεδρών latrine
G857	ἀφειδία unsparing
G858	ἀφελότης sincerity
G859	ἄφεσις forgiveness
G860	ἁφή joint
G861	ἀφθαρσία incorruptibility
G862	ἄφθαρτος incorruptible
G863	ἀφίημι to release
G864	ἀφικνέομαι to reach
G865	ἀφιλάγαθος hating good
G866	ἀφιλάργυρος not greedy
G867	ἄφιξις departure
G868	ἀφίστημι to leave
G869	ἄφνω suddenly
G870	ἀφόβως fearlessly
G871	ἀφομοιόω to make like
G872	ἀφοράω to consider
G873	ἀφορίζω to separate
G874	ἀφορμή opportunity
G875	ἀφρίζω to foam
G876	ἀφρός foam
G877	ἀφροσύνη foolishness
G878	ἄφρων foolish
