OGNTsort	NET2
000444	in Judea,
000445	in
000446	the time
000447	Herod,
000448	
000449	of King
000450	
000451	wise men
000452	from
000453	the East
000454	came
000455	to
000456	Jerusalem
000457	saying,
000458	“Where
000459	is
000460	
000461	the one who is born
000462	king
000463	
000464	of the Jews?
000465	we saw
000466	For
000467	
000468	
000469	his star
000470	
000471	
000472	when it rose
000473	
000474	and have come
000475	to worship him.”
000476	
000477	heard
000478	
000479	
000480	When King
000481	Herod
000482	this he was alarmed,
000483	
000484	and all
000485	Jerusalem
000486	with him.
000487	
000488	
000489	After assembling
000490	all
000491	
000492	the chief priests
000493	
000494	and experts in the law,
000495	
000496	
000497	he asked them
000498	
000499	
000500	where
000501	
000502	the Christ
000503	was to be born.
000504	
000505	
000506	they said,
000507	
000508	“In
000509	Bethlehem
000510	
000511	of Judea,”
000512	this way
000513	“for
000514	it is written
000515	by
000516	
000517	the prophet:
000518	
000519	
000520	‘And you, Bethlehem,
000521	in the land
000522	of Judah,
000523	in no way
000524	least
000525	are
000526	among
000527	
000528	the rulers
000529	of Judah,
000530	
000531	out of you
000532	for
000533	will come
000534	a ruler
000535	who
000536	will shepherd
000537	
000538	my people
000539	
000540	
000541	Israel.’”
000542	Then
000543	Herod
000544	privately
000545	summoned
000546	
000547	the wise men
000548	and determined
000549	from them
000550	
000551	
000552	when
000553	
000554	had appeared.
000555	the star
000556	
000557	He sent them
000558	
000559	to
000560	Bethlehem
000561	and said,
000562	“Go
000563	and look
000564	carefully
000565	for
000566	
000567	the child.
000568	When
000569	
000570	you find him,
000571	inform me
000572	
000573	so that
000574	I
000575	can go
000576	and worship
000577	him as well.”
000578	
000579	
000580	After listening
000581	
000582	to the king
000583	they left,
000584	
000585	and once again
000586	
000587	the star
000588	
000589	they saw
000590	
000591	
000592	when it rose
000593	led them
000594	
000595	until
000596	
000597	it stopped
000598	above
000599	the place where
000600	was.
000601	
000602	the child
000603	When they saw
000604	
000605	
000606	the star
000607	they shouted
000608	joyfully.
000609	
000610	
000611	
000612	As they came
000613	into
000614	
000615	the house
000616	and saw
000617	
000618	the child
000619	with
000620	Mary
000621	
000622	his mother,
000623	
000624	
000625	they bowed down
000626	and worshiped him.
000627	
000628	
000629	They opened
000630	
000631	their treasure boxes
000632	
000633	and gave him
000634	
000635	gifts
000636	of gold,
000637	
000638	frankincense,
000639	
000640	and myrrh.
000641	
000642	After being warned
000643	in
000644	a dream
000645	not
000646	to return
000647	to
000648	Herod,
000649	by
000650	another
000651	route
000652	they went back
000653	to
000654	
000655	their own country.
000656	
000657	After they had gone,
000658	
000659	
000660	
000661	an angel
000662	of the Lord
000663	appeared
000664	in
000665	a dream
000666	
000667	to Joseph
000668	and said,
000669	“Get up,
000670	take
000671	
000672	the child
000673	
000674	
000675	and his mother
000676	
000677	
000678	and flee
000679	to
000680	Egypt,
000681	
000682	and stay
000683	there
000684	until
000685	
000686	I tell you,
000687	
000688	is going
000689	for
000690	Herod
000691	to look for
000692	
000693	the child
000694	
000695	to kill him.”
000696	
000697	
000698	Then
000699	he got up,
000700	took
000701	
000702	the child
000703	
000704	
000705	and his mother
000706	
000707	during the night,
000708	
000709	and went
000710	to
000711	Egypt.
000712	
000713	He stayed
000714	there
000715	until
000716	
000717	died.
000718	Herod
000719	In this way
000720	was fulfilled:
000721	
000722	what was spoken
000723	by
000724	the Lord
000725	through
000726	
000727	the prophet
000728	
000729	out of
000730	Egypt.”
000731	“I called
000732	
000733	my Son
000734	
000735	
000736	When Herod
000737	saw
000738	
000739	that he had been tricked
000740	by
000741	
000742	the wise men,
000743	he became enraged.
000744	
000745	
000746	He sent
000747	men to kill
000748	all
000749	
000750	the children
000751	
000752	in
000753	Bethlehem
000754	
000755	
000756	and throughout
000757	
000758	the surrounding region
000759	
000760	from
000761	the age of two
000762	
000763	and under,
000764	according
000765	
000766	to the time
000767	
000768	he had learned
000769	from
000770	
000771	the wise men.
000772	Then
000773	was fulfilled:
000774	
000775	
000776	by
000777	Jeremiah
000778	
000779	the prophet
000780	what was spoken
000781	“A voice
000782	in
000783	Ramah,
000784	was heard
000785	weeping
000786	
000787	wailing,
000788	and loud
000789	Rachel
000790	weeping
000791	
000792	for her children,
000793	
000794	
000795	and she did not
000796	want
000797	to be comforted,
000798	
000799	gone.”
000800	because they were
000801	had died,
000802	
000803	
000804	After Herod
000805	
000806	an angel
000807	of the Lord
000808	appeared
000809	in
000810	a dream
000811	
000812	to Joseph
000813	in
000814	Egypt
000815	saying,
000816	“Get up,
000817	take
000818	
000819	the child
000820	
000821	
000822	and his mother,
000823	
000824	
000825	and go
000826	to
000827	the land
000828	of Israel,
000829	are dead.”
000830	for
000831	
000832	those who were seeking
000833	
000834	life
000835	
000836	the child’s
000837	
000838	So
000839	he got up
000840	and took
000841	
000842	the child
000843	
000844	
000845	and his mother
000846	
000847	
000848	and returned
000849	to
000850	the land
000851	of Israel.
000852	when he heard
000853	But
000854	
000855	that Archelaus
000856	was reigning
000857	
000858	over Judea
000859	in place of
000860	
000861	his father
000862	
000863	Herod,
000864	he was afraid
000865	there.
000866	to go
000867	After being warned
000868	
000869	in
000870	a dream,
000871	he went
000872	to
000873	
000874	the regions
000875	
000876	of Galilee.
000877	
000878	He came
000879	and lived
000880	to
000881	a town
000882	called
000883	Nazareth
000884	there. Then
000885	was fulfilled,
000886	
000887	what had been spoken
000888	by
000889	
000890	the prophets
000891	
000892	a Nazarene.
000893	that Jesus would be called
000894	In
000895	
000896	
000897	days
000898	those
000899	came
000900	John
000901	
000902	the Baptist
000903	proclaiming,
000904	into
000905	
000906	the wilderness
000907	
000908	of Judea
000909	
000910	
000911	“Repent,
000912	is near.”
000913	for
000914	
000915	the kingdom
000916	
000917	of heaven
000918	
000919	For
000920	he is
000921	
000922	
000923	
000924	Isaiah
000925	
000926	the one about whom the prophet
000927	had spoken:
000928	“The voice
000929	of one shouting
000930	in
000931	
000932	the wilderness,
000933	‘Prepare
000934	
000935	the way
000936	for the Lord,
000937	straight.’”
000938	make
000939	
000940	his paths
000941	
000942	
000943	Now
000944	
000945	John
000946	wore
000947	
000948	clothing
000949	
000950	made from
000951	hair
000952	camel’s
000953	
000954	belt
000955	with a leather
000956	around
000957	
000958	his waist,
000959	
000960	
000961	and
000962	his diet
000963	consisted of
000964	
000965	locusts
000966	
000967	honey.
000968	and wild
000969	Then
000970	were going out
000971	to him,
000972	
000973	people from Jerusalem,
000974	
000975	as well as all
000976	
000977	Judea
000978	
000979	and all
000980	
000981	the region around
000982	
000983	the Jordan,
000984	
000985	and he was baptizing
000986	them in
000987	
000988	the Jordan
000989	River
000990	
000991	
000992	as they confessed
000993	
000994	their sins.
000995	
000996	when he saw
000997	But
000998	many
000999	
001000	Pharisees
001001	
001002	and Sadducees
001003	coming
001004	to
001005	
001006	his baptism,
001007	
001008	he said to them,
001009	
001010	“You offspring
001011	of vipers!
001012	Who
001013	warned
001014	you
001015	to flee
001016	from
001017	
001018	the coming
001019	wrath?
001020	produce
001021	Therefore
001022	fruit
001023	that proves
001024	
001025	your repentance,
001026	
001027	and don’t
001028	think
001029	you can say
001030	to
001031	yourselves,
001032	as our father.’
001033	‘We have
001034	
001035	Abraham
001036	I tell you
001037	For
001038	
001039	
001040	can
001041	
001042	that God
001043	from
001044	
001045	these stones!
001046	
001047	raise up
001048	children
001049	
001050	for Abraham
001051	now
001052	Even
001053	
001054	the ax
001055	at
001056	
001057	the root
001058	
001059	of the trees,
001060	is laid
001061	every
001062	and
001063	tree
001064	that does not
001065	produce
001066	fruit
001067	good
001068	will be cut down
001069	
001070	into
001071	the fire.
001072	and thrown
001073	
001074	
001075	
001076	“I baptize you
001077	with
001078	water,
001079	for
001080	repentance,
001081	
001082	but
001083	after me
001084	
001085	the one coming
001086	more powerful
001087	
001088	is
001089	
001090	I am not
001091	than I am –
001092	worthy
001093	
001094	his sandals!
001095	to carry
001096	
001097	
001098	He will baptize you
001099	with
001100	Spirit
001101	the Holy
001102	
001103	and fire.
001104	
001105	
001106	His winnowing fork
001107	is in
001108	
001109	his hand,
001110	
001111	
001112	and he will clean out
001113	
001114	his threshing floor
001115	
001116	
001117	and will gather
001118	
001119	his wheat
001120	
001121	into
001122	
001123	the storehouse,
001124	
001125	but
001126	the chaff
001127	he will burn up
001128	fire!”
001129	with inextinguishable
001130	Then
001131	came
001132	
001133	Jesus
001134	from
001135	
001136	Galilee
001137	in
001138	
001139	the Jordan River.
001140	to
001141	
001142	John
001143	
001144	to be baptized
001145	by him
001146	
001147	
001148	But
001149	
001150	John tried to prevent him,
001151	
001152	saying,
001153	
001154	“I need
001155	
001156	by you,
001157	
001158	to be baptized
001159	
001160	
001161	and yet you come
001162	to me?”
001163	
001164	replied
001165	So
001166	
001167	Jesus
001168	
001169	to him,
001170	
001171	“Let it happen
001172	now,
001173	
001174	for
001175	right
001176	it is
001177	for us
001178	to fulfill
001179	all
001180	righteousness.”
001181	Then
001182	John yielded to him.
001183	
001184	was baptized,
001185	
001186	
001187	After Jesus
001188	just as
001189	he was coming up
001190	out of
001191	
001192	the water,
001193	
001194	
001195	opened
001196	
001197	
001198	the heavens
001199	
001200	and he saw
001201	
001202	the Spirit
001203	
001204	of God
001205	descending
001206	like
001207	a dove
001208	
001209	and coming
001210	to rest on him.
001211	
001212	
001213	
001214	And a voice
001215	from
001216	
001217	heaven
001218	said,
001219	
001220	“This is
001221	
001222	Son;
001223	
001224	
001225	my one dear
001226	in
001227	him
001228	I take great delight.”
001229	Then
001230	
001231	Jesus
001232	was led
001233	into
001234	
001235	the wilderness
001236	by
001237	
001238	the Spirit
001239	to be tempted
001240	by
001241	
001242	the devil.
001243	
001244	After he fasted
001245	days
001246	forty
001247	
001248	nights
001249	and forty
001250	
001251	he was famished.
001252	
001253	came
001254	
001255	The tempter
001256	and said
001257	
001258	to him, “If
001259	the Son
001260	you are
001261	
001262	of God,
001263	command
001264	
001265	
001266	these stones
001267	
001268	bread.”
001269	to become
001270	
001271	But
001272	he answered,
001273	
001274	“It is written,
001275	does not
001276	by
001277	bread
001278	alone,
001279	live
001280	
001281	‘Man
001282	but
001283	by
001284	every
001285	word
001286	that comes from
001287	
001288	the mouth
001289	of God.’”
001290	Then
001291	took him
001292	
001293	
001294	the devil
001295	to
001296	
001297	the holy
001298	city, had him
001299	
001300	stand
001301	
001302	on
001303	
001304	the highest point
001305	of the
001306	temple,
001307	
001308	and said to him,
001309	
001310	“If
001311	the Son
001312	you are
001313	
001314	of God,
001315	throw
001316	yourself
001317	down.
001318	it is written,
001319	For
001320	
001321	
001322	his angels
001323	
001324	‘He will command
001325	concerning you’
001326	
001327	
001328	and ‘with
001329	their hands
001330	they will lift
001331	you up,
001332	so that you will not
001333	strike
001334	against
001335	a stone.’”
001336	
001337	your foot
001338	
001339	said to him,
001340	
001341	
001342	Jesus
001343	“Once again
001344	it is written:
001345	‘You are not to put
001346	to the test.’”
001347	the Lord
001348	
001349	your God
001350	
001351	Again,
001352	took him
001353	
001354	
001355	the devil
001356	to
001357	mountain,
001358	high
001359	a very
001360	and
001361	showed him
001362	
001363	all
001364	
001365	the kingdoms
001366	of the
001367	world
001368	
001369	
001370	and their grandeur.
001371	
001372	
001373	And he said to him,
001374	
001375	
001376	
001377	all
001378	“I will give you
001379	these things if
001380	you throw yourself to the ground
001381	and worship me.”
001382	
001383	Then
001384	said to him,
001385	
001386	
001387	Jesus
001388	“Go away,
001389	Satan!
001390	it is written:
001391	For
001392	the Lord
001393	
001394	God
001395	your
001396	‘You are to worship
001397	
001398	
001399	only him.’”
001400	and serve
001401	Then
001402	left him,
001403	
001404	
001405	the devil
001406	
001407	
001408	and angels
001409	came
001410	
001411	and began ministering to his needs.
001412	
001413	when Jesus heard
001414	Now
001415	
001416	that John
001417	had been imprisoned,
001418	he went
001419	into
001420	
001421	Galilee.
001422	
001423	While in Galilee, he moved
001424	
001425	from Nazareth
001426	
001427	to make his home
001428	in
001429	Capernaum
001430	
001431	by the sea,
001432	in
001433	the region
001434	of Zebulun
001435	
001436	and Naphtali,
001437	so that
001438	would be fulfilled:
001439	
001440	
001441	by
001442	Isaiah
001443	
001444	the prophet
001445	what was spoken
001446	“Land
001447	of Zebulun
001448	
001449	and land
001450	of Naphtali,
001451	the way
001452	by the sea,
001453	beyond
001454	
001455	the Jordan,
001456	Galilee
001457	
001458	of the Gentiles –
001459	
001460	the people
001461	
001462	who sit
001463	in
001464	darkness
001465	light,
001466	have seen
001467	a great
001468	
001469	
001470	and on those who sit
001471	in
001472	the region
001473	
001474	and shadow
001475	of death
001476	a light
001477	has dawned.”
001478	
001479	From
001480	that time
001481	began
001482	
001483	Jesus
001484	to preach
001485	
001486	this message:
001487	“Repent,
001488	is near!”
001489	for
001490	
001491	the kingdom
001492	
001493	of heaven
001494	As he was walking
001495	
001496	by
001497	
001498	the Sea
001499	
001500	of Galilee
001501	he saw
001502	two
001503	brothers,
001504	Simon
001505	
001506	(called
001507	Peter)
001508	
001509	and Andrew
001510	
001511	his brother,
001512	
001513	casting
001514	a net
001515	into
001516	
001517	the sea
001518	they were
001519	(for
001520	fishermen).
001521	
001522	He said to them,
001523	
001524	“Follow me,
001525	
001526	
001527	
001528	and I will turn you
001529	
001530	into fishers
001531	of people!”
001532	
001533	
001534	immediately
001535	They left
001536	
001537	their nets
001538	and followed him.
001539	
001540	
001541	Going on
001542	from there
001543	he saw
001544	other
001545	two
001546	brothers,
001547	James
001548	
001549	
001550	the son of Zebedee
001551	
001552	John,
001553	
001554	and his brother
001555	
001556	in
001557	
001558	a boat
001559	with
001560	Zebedee,
001561	
001562	their father
001563	
001564	mending
001565	
001566	their nets.
001567	
001568	
001569	Then he called them.
001570	
001571	
001572	
001573	They immediately
001574	left
001575	
001576	the boat
001577	
001578	
001579	and their father
001580	
001581	and followed him.
001582	
001583	
001584	Jesus went throughout
001585	in
001586	all
001587	
001588	of Galilee,
001589	teaching
001590	among
001591	
001592	their synagogues,
001593	
001594	
001595	preaching
001596	
001597	the gospel
001598	
001599	of the kingdom,
001600	
001601	and healing
001602	every kind
001603	of disease
001604	
001605	
001606	and sickness
001607	
001608	
001609	the people.
001610	
001611	spread
001612	
001613	So a report about him
001614	
001615	
001616	throughout
001617	
001618	Syria.
001619	
001620	People brought to him
001621	
001622	all
001623	
001624	who suffered
001625	
001626	with various
001627	illnesses
001628	
001629	and afflictions,
001630	
001631	
001632	and those possessed by demons,
001633	
001634	those who had seizures,
001635	
001636	paralytics,
001637	
001638	and he healed them.
001639	
001640	
001641	followed him
001642	
001643	crowds
001644	And large
001645	from
001646	
001647	Galilee,
001648	
001649	the Decapolis,
001650	
001651	Jerusalem,
001652	
001653	Judea,
001654	
001655	and beyond
001656	
001657	the Jordan River.
001658	When he saw
001659	
001660	
001661	the crowds,
001662	he went up
001663	
001664	
001665	the mountain.
001666	
001667	After he sat down
001668	
001669	came to him.
001670	
001671	
001672	his disciples
001673	
001674	
001675	
001676	
001677	
001678	
001679	Then he began to teach them
001680	
001681	by saying:
001682	“Blessed
001683	
001684	are the poor
001685	
001686	in spirit,
001687	
001688	
001689	belongs to them.
001690	
001691	for the kingdom
001692	
001693	of heaven
001694	“Blessed
001695	
001696	are those who mourn,
001697	
001698	
001699	for they will be comforted.
001700	“Blessed
001701	
001702	are the meek,
001703	
001704	
001705	for they will inherit
001706	
001707	the earth.
001708	“Blessed
001709	
001710	are those who hunger
001711	
001712	and thirst
001713	
001714	for righteousness,
001715	
001716	
001717	for they will be satisfied.
001718	“Blessed
001719	
001720	are the merciful,
001721	
001722	
001723	for they will be shown mercy.
001724	“Blessed
001725	
001726	are the pure
001727	
001728	in heart,
001729	
001730	
001731	
001732	God.
001733	for they will see
001734	“Blessed
001735	
001736	are the peacemakers,
001737	
001738	
001739	the children
001740	of God.
001741	for they will be called
001742	“Blessed
001743	
001744	are those who are persecuted
001745	
001746	for righteousness,
001747	
001748	
001749	belongs to them.
001750	
001751	for the kingdom
001752	
001753	of heaven
001754	“Blessed
001755	are
001756	you when
001757	people insult
001758	
001759	
001760	you and persecute
001761	
001762	you and say
001763	all kinds
001764	of evil
001765	things about
001766	
001767	you falsely
001768	on account of me.
001769	
001770	Rejoice
001771	
001772	and be glad,
001773	
001774	
001775	because your reward
001776	
001777	is great
001778	in
001779	
001780	heaven,
001781	in the same way.
001782	for
001783	they persecuted
001784	
001785	the prophets
001786	
001787	before you
001788	
001789	
001790	“You are
001791	
001792	the salt
001793	
001794	of the earth.
001795	if
001796	But
001797	
001798	salt
001799	loses its flavor,
001800	
001801	how can
001802	it be made salty again?
001803	for anything
001804	It is no
001805	good
001806	longer
001807	
001808	except
001809	to be thrown
001810	out
001811	and trampled on
001812	by
001813	
001814	people!
001815	
001816	You are
001817	
001818	the light
001819	
001820	of the world.
001821	
001822	cannot
001823	A city
001824	be hidden.
001825	on
001826	a hill
001827	located
001828	People do not
001829	light
001830	a lamp
001831	
001832	and put it
001833	
001834	under
001835	
001836	a basket
001837	but
001838	on
001839	
001840	a lampstand,
001841	
001842	and it gives light
001843	to all
001844	
001845	in
001846	
001847	the house.
001848	In the same way,
001849	shine
001850	
001851	let your light
001852	
001853	before
001854	
001855	people,
001856	so that
001857	they can see
001858	
001859	
001860	your good
001861	deeds
001862	
001863	and give honor
001864	
001865	Father
001866	to your
001867	
001868	in
001869	
001870	heaven.
001871	“Do not
001872	think
001873	
001874	that I have come
001875	to abolish
001876	
001877	the law
001878	or
001879	
001880	the prophets.
001881	I have not
001882	come
001883	to abolish
001884	these things but
001885	to fulfill them.
001886	the truth,
001887	
001888	I tell you
001889	
001890	until
001891	
001892	pass away
001893	
001894	heaven
001895	
001896	
001897	and earth
001898	the smallest letter
001899	
001900	or
001901	
001902	stroke of a letter
001903	
001904	not
001905	will pass
001906	from
001907	
001908	the law
001909	until
001910	
001911	everything
001912	takes place.
001913	anyone
001914	
001915	So
001916	who breaks
001917	one
001918	
001919	of these commands
001920	
001921	
001922	of the least
001923	
001924	and teaches
001925	to do so
001926	
001927	others
001928	least
001929	will be called
001930	in
001931	
001932	the kingdom
001933	
001934	of heaven,
001935	
001936	but
001937	whoever
001938	obeys
001939	
001940	them and teaches
001941	others to do so
001942	great
001943	will be called
001944	in
001945	
001946	the kingdom
001947	
001948	of heaven.
001949	I tell
001950	For
001951	you,
001952	
001953	
001954	unless
001955	goes beyond
001956	your
001957	
001958	righteousness
001959	
001960	
001961	that of the experts in the law
001962	
001963	and the Pharisees,
001964	
001965	you will never
001966	enter
001967	
001968	
001969	the kingdom
001970	
001971	of heaven!
001972	“You have heard
001973	
001974	that it was said
001975	
001976	to an older generation,
001977	‘Do not
001978	murder,’
001979	‘whoever
001980	and
001981	
001982	murders
001983	subjected
001984	will be
001985	
001986	to judgment.’
001987	
001988	But
001989	I say to you
001990	
001991	
001992	that anyone
001993	
001994	who is angry
001995	
001996	with a brother
001997	
001998	subjected
001999	will be
002000	
002001	to judgment.
002002	whoever
002003	And
002004	
002005	insults
002006	
002007	a brother
002008	
002009	
002010	brought
002011	will be
002012	
002013	before the council,
002014	whoever
002015	and
002016	
002017	says
002018	‘Fool’
002019	sent
002020	will be
002021	to
002022	
002023	hell.
002024	
002025	fiery
002026	if
002027	So then,
002028	you bring
002029	
002030	your gift
002031	
002032	to
002033	
002034	the altar
002035	and there
002036	you remember
002037	
002038	
002039	that your brother
002040	
002041	has
002042	something
002043	against you,
002044	
002045	leave
002046	there
002047	
002048	your gift
002049	
002050	in front of
002051	
002052	the altar.
002053	
002054	go
002055	First
002056	and be reconciled
002057	
002058	to your brother
002059	
002060	
002061	and then
002062	come
002063	and present
002064	
002065	your gift.
002066	
002067	Reach
002068	agreement
002069	
002070	with your accuser
002071	
002072	quickly
002073	while
002074	
002075	
002076	
002077	
002078	on
002079	
002080	the way to court,
002081	
002082	
002083	or he may hand you over
002084	
002085	
002086	
002087	to the judge,
002088	
002089	
002090	and the judge hand you over
002091	
002092	to the warden,
002093	
002094	into
002095	prison.
002096	and you will be thrown
002097	the truth,
002098	I tell you
002099	
002100	
002101	you will never
002102	get out of
002103	there
002104	until
002105	
002106	you have paid
002107	
002108	the last
002109	penny!
002110	“You have heard
002111	
002112	that it was said,
002113	‘Do not
002114	commit adultery.’
002115	
002116	But
002117	I say to you
002118	
002119	
002120	that whoever
002121	
002122	looks at
002123	a woman
002124	to
002125	
002126	desire her
002127	
002128	already
002129	has
002130	
002131	committed adultery with her
002132	
002133	heart.
002134	in his
002135	If
002136	
002137	
002138	eye
002139	
002140	
002141	your right
002142	causes you
002143	
002144	to sin,
002145	tear it out
002146	
002147	and throw
002148	
002149	it away!
002150	It is better
002151	
002152	
002153	
002154	to lose
002155	one
002156	
002157	of your members
002158	
002159	
002160	
002161	than to have your whole
002162	
002163	body
002164	
002165	thrown
002166	into
002167	hell.
002168	
002169	If
002170	
002171	right
002172	your
002173	hand
002174	causes
002175	you to sin,
002176	cut
002177	it off
002178	
002179	and throw
002180	it away!
002181	
002182	It is better
002183	
002184	
002185	to
002186	lose
002187	one
002188	
002189	of your members
002190	
002191	
002192	
002193	than to have your whole
002194	
002195	body
002196	
002197	into
002198	hell.
002199	go
002200	“It was said,
002201	
002202	‘Whoever
002203	
002204	divorces
002205	
002206	his wife
002207	
002208	must give her
002209	
002210	a legal document.’
002211	
002212	But
002213	I say to you
002214	
002215	
002216	that everyone
002217	
002218	who divorces
002219	
002220	his wife,
002221	
002222	except
002223	
002224	for immorality,
002225	makes her
002226	
002227	commit adultery,
002228	
002229	and whoever
002230	
002231	a divorced woman
002232	marries
002233	commits adultery.
002234	“Again,
002235	you have heard
002236	
002237	that it was said
002238	
002239	to an older generation,
002240	‘Do not
002241	break an oath,
002242	fulfill
002243	but
002244	
002245	to the Lord.’
002246	
002247	your vows
002248	
002249	
002250	But
002251	I say to you,
002252	
002253	do not
002254	take oaths
002255	at all –
002256	not
002257	by
002258	
002259	heaven,
002260	
002261	the throne
002262	because it is
002263	
002264	of God,
002265	not
002266	by
002267	
002268	earth,
002269	
002270	his footstool,
002271	because it is
002272	
002273	
002274	
002275	and not
002276	by
002277	Jerusalem,
002278	
002279	the city
002280	because it is
002281	
002282	of the great
002283	King.
