BGBsort	Book	Chapter	Verse	Heading	Crossref
101675	44	27	13	The Storm at Sea	『jeremiah｜6｜10｜Jeremiah 6:10-21』『jeremiah｜25｜15｜Jeremiah 25:15-33』『jonah｜1｜4｜Jonah 1:4-10』『romans｜1｜18｜Romans 1:18-32』
101939	44	27	27	The Shipwreck	
102330	44	28	1	Ashore on Malta	
102568	44	28	11	Paul Arrives in Italy	
102665	44	28	16	Paul Preaches at Rome	
103071	45	1	1	Greeting the Saints in Rome	
103192	45	1	8	Paul's Desire to Visit Rome	『1_thessalonians｜2｜17｜1 Thessalonians 2:17-20』
103367	45	1	16	Unashamed of the Gospel	
103412	45	1	18	God's Wrath against Sin	『jeremiah｜6｜10｜Jeremiah 6:10-21』『jeremiah｜25｜15｜Jeremiah 25:15-33』『jonah｜1｜4｜Jonah 1:4-10』『acts｜27｜13｜Acts 27:13-26』
103742	45	2	1	God's Righteous Judgment	『genesis｜4｜1｜Genesis 4:1-7』『jude｜1｜3｜Jude 1:3-16』
104071	45	2	17	The Jews and the Law	
104308	45	3	1	God Remains Faithful	『psalms｜147｜1｜Psalm 147:1-20』『hebrews｜10｜1｜Hebrews 10:1-18』
104479	45	3	9	There is No One Righteous	『psalms｜14｜1｜Psalm 14:1-7』
104660	45	3	21	Righteousness through Faith	
104862	45	4	1	Abraham Justified by Faith	『genesis｜15｜1｜Genesis 15:1-7』『galatians｜3｜1｜Galatians 3:1-9』『hebrews｜11｜8｜Hebrews 11:8-19』『james｜2｜14｜James 2:14-26』
105097	45	4	13	Abraham Receives the Promise	『genesis｜15｜8｜Genesis 15:8-21』『numbers｜34｜1｜Numbers 34:1-15』
105364	45	5	1	The Triumph of Faith	『john｜14｜27｜John 14:27-31』
105466	45	5	6	Christ's Sacrifice for the Ungodly	『genesis｜22｜1｜Genesis 22:1-10』『john｜3｜16｜John 3:16-21』
105592	45	5	12	Death in Adam, Life in Christ	『genesis｜3｜1｜Genesis 3:1-7』『genesis｜7｜1｜Genesis 7:1-5』『2_peter｜3｜1｜2 Peter 3:1-9』
105880	45	6	1	Dead to Sin, Alive to God	『2_corinthians｜4｜7｜2 Corinthians 4:7-18』
106145	45	6	15	The Wages of Sin	『1_peter｜3｜14｜1 Peter 3:14-22』
106339	45	7	1	Release from the Law	『galatians｜3｜15｜Galatians 3:15-25』
106499	45	7	7	God's Law is Holy	
106625	45	7	13	Struggling with Sin	
106908	45	8	1	Living in the Spirit	『galatians｜5｜16｜Galatians 5:16-26』
107165	45	8	12	Heirs with Christ	『genesis｜21｜1｜Genesis 21:1-8』『galatians｜4｜1｜Galatians 4:1-7』
107271	45	8	18	Future Glory	『2_corinthians｜5｜1｜2 Corinthians 5:1-10』
107476	45	8	28	God Works In All Things	『ephesians｜1｜3｜Ephesians 1:3-14』
107626	45	8	35	More than Conquerors	『psalms｜44｜1｜Psalm 44:1-26』
107729	45	9	1	Paul's Concern for the Jews	
107834	45	9	6	God's Sovereign Choice	『genesis｜25｜19｜Genesis 25:19-28』『malachi｜1｜1｜Malachi 1:1-5』
108078	45	9	19	The Calling of the Gentiles	
108312	45	9	30	Israel's Unbelief	
108386	45	10	1	The Word Brings Salvation	
108817	45	11	1	The Remnant of Israel	
109043	45	11	11	The Ingrafting of the Gentiles	
109335	45	11	25	All Israel Shall Be Saved	
109486	45	11	33	A Hymn of Praise	『romans｜16｜25｜Romans 16:25-27』『jude｜1｜24｜Jude 1:24-25』
109555	45	12	1	Living Sacrifices	『1_corinthians｜3｜16｜1 Corinthians 3:16-18』『1_corinthians｜6｜18｜1 Corinthians 6:18-20』
109745	45	12	9	Love, Zeal, Hope, Hospitality	『john｜13｜31｜John 13:31-35』『1_john｜3｜11｜1 John 3:11-24』
109810	45	12	14	Forgiveness	『matthew｜18｜21｜Matthew 18:21-35』
109944	45	13	1	Submission to Authorities	『1_peter｜2｜13｜1 Peter 2:13-20』
110116	45	13	8	Love Fulfills the Law	『leviticus｜19｜9｜Leviticus 19:9-18』
110183	45	13	11	Put On Christ	
110270	45	14	1	The Law of Liberty	『matthew｜7｜1｜Matthew 7:1-6』『luke｜6｜37｜Luke 6:37-42』
110525	45	14	13	The Law of Love	『ezekiel｜14｜1｜Ezekiel 14:1-11』『1_corinthians｜8｜1｜1 Corinthians 8:1-13』
110753	45	15	1	Accept One Another	
110874	45	15	7	Christ the Servant of Jews and Gentiles	
111018	45	15	14	Paul the Minister to the Gentiles	
111209	45	15	23	Paul's Travel Plans	『1_corinthians｜16｜5｜1 Corinthians 16:5-9』
111429	45	16	1	Personal Greetings and Love	
111726	45	16	17	Avoid Divisions	
111836	45	16	21	Greetings from Paul's Companions	
111909	45	16	25	Doxology	『romans｜11｜33｜Romans 11:33-36』『jude｜1｜24｜Jude 1:24-25』
111976	46	1	1	Greetings from Paul	『2_corinthians｜1｜1｜2 Corinthians 1:1-2』
112043	46	1	4	Thanksgiving	『philippians｜1｜3｜Philippians 1:3-11』『colossians｜1｜3｜Colossians 1:3-14』『2_thessalonians｜1｜3｜2 Thessalonians 1:3-4』
112151	46	1	10	Unity in the Church	『psalms｜133｜1｜Psalm 133:1-3』『ephesians｜4｜1｜Ephesians 4:1-16』
112321	46	1	18	The Message of the Cross	
112479	46	1	26	Wisdom from God	
112600	46	2	1	Paul's Message by the Spirit's Power	
112697	46	2	6	Spiritual Wisdom	
112952	46	3	1	God's Fellow Workers	
113115	46	3	10	Christ Our Foundation	『isaiah｜28｜14｜Isaiah 28:14-22』『1_peter｜2｜4｜1 Peter 2:4-12』
113233	46	3	16	You are God's Temple	『romans｜12｜1｜Romans 12:1-8』『1_corinthians｜6｜18｜1 Corinthians 6:18-20』
113276	46	3	18	Worldly Wisdom	
113384	46	4	1	Servants of Christ	
113490	46	4	6	Fools for Christ	
113661	46	4	14	Paul Warns his Children	
113814	46	5	1	Immorality Rebuked	『leviticus｜20｜10｜Leviticus 20:10-21』『proverbs｜5｜1｜Proverbs 5:1-23』
113989	46	5	9	Expel the Immoral Brother	
114087	46	6	1	Lawsuits among Believers	
114234	46	6	9	Members of Christ	
114437	46	6	18	The Temple of the Holy Spirit	『romans｜12｜1｜Romans 12:1-8』『1_corinthians｜3｜16｜1 Corinthians 3:16-18』
114512	46	7	1	Principles of Marriage	
114857	46	7	17	Live Your Calling	
114988	46	7	25	The Unmarried and Widowed	
115359	46	8	1	Food Sacrificed to Idols	『ezekiel｜14｜1｜Ezekiel 14:1-11』『romans｜14｜13｜Romans 14:13-23』
115637	46	9	1	The Rights of an Apostle	『deuteronomy｜18｜1｜Deuteronomy 18:1-8』
116019	46	9	19	Paul the Servant to All	
116117	46	9	24	Run Your Race to Win	
116195	46	10	1	Warnings from Israel's Past	『numbers｜16｜41｜Numbers 16:41-50』『numbers｜25｜1｜Numbers 25:1-5』
116444	46	10	14	Flee from Idolatry	『exodus｜20｜22｜Exodus 20:22-23』『leviticus｜19｜1｜Leviticus 19:1-8』
116603	46	10	23	All to God's Glory	
116802	46	11	1	Roles in Worship	
117099	46	11	17	Sharing in the Lord's Supper	『matthew｜26｜26｜Matthew 26:26-30』『mark｜14｜22｜Mark 14:22-26』『luke｜22｜14｜Luke 22:14-23』
117469	46	12	1	Spiritual Gifts	
117664	46	12	12	The Body of Christ	
117975	46	12	27	The Greater Gifts	
118065	46	13	1	Love	
118314	46	14	1	Prophecy and Tongues	
118833	46	14	26	Orderly Worship	
119082	46	15	1	The Resurrection of Christ	
119287	46	15	12	The Resurrection of the Dead	
119430	46	15	20	The Order of Resurrection	
119705	46	15	35	The Resurrection Body	
119978	46	15	50	Where, O Death, is Your Victory?	『isaiah｜57｜1｜Isaiah 57:1-2』『hosea｜13｜14｜Hosea 13:14』
120163	46	16	1	The Collection for the Saints	
120242	46	16	5	Paul's Travel Plans	『romans｜15｜23｜Romans 15:23-33』
120323	46	16	10	Timothy Commended	
120399	46	16	13	Concluding Exhortations	
120495	46	16	19	Final Greetings	『2_thessalonians｜3｜16｜2 Thessalonians 3:16-18』
120582	47	1	1	Paul Greets the Corinthians	『1_corinthians｜1｜1｜1 Corinthians 1:1-3』
120631	47	1	3	The God of All Comfort	
120858	47	1	12	Paul's Change of Plans	
121166	47	2	1	Reaffirm Your Love	
121380	47	2	12	Triumph in Christ	
121519	47	3	1	Ministers of a New Covenant	
121646	47	3	7	The Glory of the New Covenant	『exodus｜34｜29｜Exodus 34:29-35』
121887	47	4	1	The Light of the Gospel	
122034	47	4	7	Treasures in Jars of Clay	『romans｜6｜1｜Romans 6:1-14』
122281	47	5	1	Our Eternal Dwelling	『romans｜8｜18｜Romans 8:18-27』
122470	47	5	11	Ambassadors for Christ	
122703	47	6	1	Paul's Hardships and God's Grace	
122929	47	6	14	Do Not Be Unequally Yoked	『exodus｜29｜45｜Exodus 29:45-46』
123041	47	7	1	Paul's Joy in the Corinthians	
123435	47	8	1	Generosity Commended	
123604	47	8	9	Christ's Example	
123753	47	8	16	Titus Commended	『titus｜1｜1｜Titus 1:1-4』
123941	47	9	1	God Loves a Cheerful Giver	『leviticus｜22｜17｜Leviticus 22:17-33』
124285	47	10	1	Paul's Apostolic Authority	
124668	47	11	1	Paul and the False Apostles	
124972	47	11	16	Paul's Suffering and Service	『colossians｜1｜24｜Colossians 1:24-29』
125300	47	12	1	Paul's Revelation	
125386	47	12	5	Paul's Thorn and God's Grace	
125532	47	12	11	Concern for the Corinthians	
125796	47	13	1	Examine Yourselves	
126023	47	13	11	Final Greetings and Blessing	
126089	48	1	1	Paul's Greeting to the Galatians	
126184	48	1	6	No Other Gospel	
126264	48	1	10	Paul Preaches the Gospel	
126549	48	2	1	The Council at Jerusalem	
126766	48	2	11	Paul Confronts Cephas	
127019	48	3	1	Faith and Belief	『genesis｜15｜1｜Genesis 15:1-7』『romans｜4｜1｜Romans 4:1-12』『hebrews｜11｜8｜Hebrews 11:8-19』『james｜2｜14｜James 2:14-26』
127172	48	3	10	Christ Redeemed Us	『deuteronomy｜21｜22｜Deuteronomy 21:22-23』
127291	48	3	15	The Purpose of the Law	『romans｜7｜1｜Romans 7:1-6』
127525	48	3	26	Sons Through Faith in Christ	
127594	48	4	1	Sons and Heirs	『genesis｜21｜1｜Genesis 21:1-8』『romans｜8｜12｜Romans 8:12-17』
127722	48	4	8	Paul's Fears for the Galatians	
127945	48	4	21	Hagar and Sarah	
128163	48	5	1	Freedom in Christ	
128405	48	5	16	Living by the Spirit	『romans｜8｜9｜Romans 8:9-11』
128581	48	6	1	Carry One Another's Burdens	
128767	48	6	11	Paul's Final Warning	
128862	48	6	16	Benediction	
128921	49	1	1	Paul's Greeting to the Ephesians	
128959	49	1	3	Spiritual Blessings	『romans｜8｜28｜Romans 8:28-34』
129209	49	1	15	Spiritual Wisdom	
129414	49	2	1	Alive with Christ	
129619	49	2	11	One in Christ	
129797	49	2	19	A Temple in the Lord	
129864	49	3	1	The Mystery of the Gospel	
130118	49	3	14	Paul's Prayer for the Ephesians	
130278	49	4	1	Unity in the Body	『psalms｜133｜1｜Psalm 133:1-3』『1_corinthians｜1｜10｜1 Corinthians 1:10-17』
130593	49	4	17	New Life in Christ 	
130890	49	5	1	Imitators of God	
131022	49	5	8	Children of Light	
131232	49	5	21	Wives and Husbands	『songs｜1｜1｜Song of Solomon 1:1-3』『1_peter｜3｜1｜1 Peter 3:1-7』
131488	49	6	1	Children and Parents	『deuteronomy｜6｜20｜Deuteronomy 6:20-25』
131555	49	6	5	Slaves and Masters	『1_timothy｜6｜1｜1 Timothy 6:1-2』
131662	49	6	10	The Armor of God	
131896	49	6	21	Final Greetings	
131978	50	1	1	Greetings from Paul and Timothy	『2_samuel｜6｜12｜2 Samuel 6:12-15』『1_chronicles｜15｜1｜1 Chronicles 15:1-14』『colossians｜1｜1｜Colossians 1:1-2』
132018	50	1	3	Thanksgiving and Prayer	『1_corinthians｜1｜4｜1 Corinthians 1:4-9』『colossians｜1｜3｜Colossians 1:3-14』『2_thessalonians｜1｜3｜2 Thessalonians 1:3-4』
132198	50	1	12	Paul's Trials Advance the Gospel	『james｜1｜2｜James 1:2-8』
132392	50	1	21	To Live is Christ	
132503	50	1	27	Worthy of the Gospel	
132601	50	2	1	One in Christ	
132675	50	2	5	The Attitude of Christ	『isaiah｜52｜13｜Isaiah 52:13-15』
132788	50	2	12	Shining as Stars	『matthew｜5｜13｜Matthew 5:13-16』
132931	50	2	19	Timothy and Epaphroditus	
133027	50	2	25	Epaphroditus Commended	
133153	50	3	1	Righteousness through Faith	
133265	50	3	7	Knowing Christ Above All Else	
133377	50	3	12	Pressing Toward the Goal	
133473	50	3	17	Citizenship in Heaven	
133583	50	4	1	Stand Firm in the Lord	
133719	50	4	8	Think on These Things	
133773	50	4	10	The Generosity of the Philippians	
133986	50	4	21	Final Greetings	
134033	51	1	1	Greetings from Paul and Timothy	『2_samuel｜6｜12｜2 Samuel 6:12-15』『1_chronicles｜15｜1｜1 Chronicles 15:1-14』『philippians｜1｜1｜Philippians 1:1-2』
134069	51	1	3	Thanksgiving and Prayer	『1_corinthians｜1｜4｜1 Corinthians 1:4-9』『philippians｜1｜3｜Philippians 1:3-11』『2_thessalonians｜1｜3｜2 Thessalonians 1:3-4』
134325	51	1	15	The Supremacy of Christ	『hebrews｜1｜1｜Hebrews 1:1-14』
134541	51	1	24	Paul's Suffering for the Church	『2_corinthians｜11｜16｜2 Corinthians 11:16-33』
134688	51	2	1	Absent in Body, Present in Spirit	『revelation｜3｜14｜Revelation 3:14-22』
134798	51	2	6	Alive in Christ	
135170	51	3	1	Putting on the New Self	
135510	51	3	18	Christian Households	
135640	51	4	1	Fellow Workers	
135743	51	4	7	Final Greetings	
135937	51	4	16	Sharing This Letter	
136000	52	1	1	Greetings to the Thessalonians	『2_thessalonians｜1｜1｜2 Thessalonians 1:1-2』『philemon｜1｜1｜Philemon 1:1-3』
136262	52	2	1	Paul's Ministry	
136647	52	2	17	Paul's Longing to Visit	『romans｜1｜8｜Romans 1:8-15』
136732	52	3	1	Timothy's Visit	
136840	52	3	6	Timothy's Encouraging Report	
137032	52	4	1	Living to Please God	
137273	52	4	13	The Return of the Lord	
137414	52	5	1	The Day of the Lord	『zephaniah｜1｜7｜Zephaniah 1:7-18』『2_peter｜3｜8｜2 Peter 3:8-13』
137610	52	5	12	Christian Living	
137753	52	5	23	Final Blessings	
137846	53	1	1	Greetings to the Thessalonians	『1_thessalonians｜1｜1｜1 Thessalonians 1:1-10』『philemon｜1｜1｜Philemon 1:1-3』
137943	53	1	5	Christ's Coming	
138129	53	2	1	The Man of Lawlessness	
138393	53	2	13	Stand Firm	
138512	53	3	1	Request for Prayer	
138608	53	3	6	Warning against Irresponsibility	
138802	53	3	16	Paul's Final Greetings	『1_corinthians｜16｜19｜1 Corinthians 16:19-24』
138859	54	1	1	Paul's Greeting to Timothy	『2_timothy｜1｜1｜2 Timothy 1:1-2』
138899	54	1	3	Warning against False Teaching	
139055	54	1	12	God's Grace to Paul	
139245	54	2	1	A Call to Prayer	
139381	54	2	9	Instructions to Women	
139491	54	3	1	Qualifications for Overseers	
139604	54	3	8	Qualifications for Deacons	『acts｜6｜1｜Acts 6:1-7』
139694	54	3	14	The Mystery of Godliness	
139762	54	4	1	Warnings against False Teachers	
139844	54	4	6	A Good Minister of Jesus Christ	『leviticus｜21｜1｜Leviticus 21:1-17』
140047	54	5	1	Guidelines for Reproof	
140074	54	5	3	Support for Widows	『ruth｜1｜1｜Ruth 1:1-5』
140315	54	5	17	Honoring Elders	
140385	54	5	21	A Charge to Timothy	
140477	54	6	1	Instructions to Servants	『ephesians｜6｜5｜Ephesians 6:5-9』
140533	54	6	3	Reject False Doctrines	
140599	54	6	6	Contentment in Godliness	
140688	54	6	11	Fight the Good Fight	
140819	54	6	17	A Charge to the Rich	
140875	54	6	20	Final Guidance	
140909	55	1	1	Paul's Greeting to Timothy	『1_timothy｜1｜1｜1 Timothy 1:1-2』
140946	55	1	3	Encouragement to Be Faithful	
141019	55	1	6	Patience in Persecution	『matthew｜10｜16｜Matthew 10:16-25』
141186	55	1	13	Hold to Sound Teaching	
141298	55	2	1	Grace and Perseverance	『hebrews｜12｜1｜Hebrews 12:1-3』
141500	55	2	14	The Lord's Approved Workman	
141761	55	3	1	Evil in the Last Days	
141909	55	3	10	All Scripture is God-Breathed	
142065	55	4	1	Preach the Word	
142230	55	4	9	Personal Concerns	
142343	55	4	16	The Lord Remains Faithful	
142419	55	4	19	Final Greetings	
142481	56	1	1	Paul's Greeting to Titus	『2_corinthians｜8｜16｜2 Corinthians 8:16-24』
142562	56	1	5	Appointing Elders on Crete	
142664	56	1	10	Correcting False Teachers	
142796	56	2	1	Teaching Sound Doctrine	
142949	56	2	11	God's Grace Brings Salvation	
143045	56	3	1	Obedience to Authorities	
143076	56	3	3	God's Mercy to Us	
143202	56	3	9	Avoiding Divisions	
143247	56	3	12	Final Remarks and Greetings	
143325	57	1	1	Greetings from Paul and Timothy	『1_thessalonians｜1｜1｜1 Thessalonians 1:1-10』『2_thessalonians｜1｜1｜2 Thessalonians 1:1-2』
143378	57	1	4	Philemon's Faith and Love	
143460	57	1	8	Paul's Appeal for Onesimus	
143722	57	1	23	Additional Greetings	
143761	58	1	1	The Supremacy of the Son	『colossians｜1｜15｜Colossians 1:15-23』
144074	58	2	1	Salvation Confirmed	
144155	58	2	5	Jesus Like His Brothers	
144470	58	3	1	Jesus Our Apostle and High Priest	
144589	58	3	7	Do Not Harden Your Hearts	
144683	58	3	12	The Peril of Unbelief	
144833	58	4	1	The Sabbath Rest	『genesis｜2｜1｜Genesis 2:1-3』『exodus｜16｜22｜Exodus 16:22-36』
145068	58	4	12	God's Word is Living and Active	
145127	58	4	14	Jesus the Great High Priest	
145189	58	5	1	The Perfect High Priest	『psalms｜110｜1｜Psalm 110:1-7』
145384	58	5	11	Warning against Drifting Away	
145477	58	6	1	A Call to Maturity	
145710	58	6	13	God's Unchangeable Promise	
145858	58	7	1	Melchizedek and Abraham	『genesis｜14｜17｜Genesis 14:17-24』
146066	58	7	11	A Superior Priesthood	
146426	58	8	1	Christ's Eternal Priesthood	
146543	58	8	6	The New Covenant	
146752	58	9	1	The Earthly Tabernacle	『exodus｜25｜1｜Exodus 25:1-9』『exodus｜40｜1｜Exodus 40:1-33』
146972	58	9	11	Redemption through His Blood	
147377	58	10	1	Christ's Perfect Sacrifice	『psalms｜147｜1｜Psalm 147:1-20』『romans｜3｜1｜Romans 3:1-8』
147708	58	10	19	A Call to Persevere	『jude｜1｜17｜Jude 1:17-23』
148083	58	11	1	Faith and Assurance	
148125	58	11	4	The Faith of Abel, Enoch, Noah	
148238	58	11	8	The Faith of Abraham and Sarah	『genesis｜15｜1｜Genesis 15:1-7』『romans｜4｜1｜Romans 4:1-12』『galatians｜3｜1｜Galatians 3:1-9』『james｜2｜14｜James 2:14-26』
148487	58	11	20	The Faith of Isaac, Jacob, Joseph	
148542	58	11	23	The Faith of Moses	
148674	58	11	30	The Faith of Many	
148877	58	12	1	The Call to Endurance	『2_timothy｜2｜1｜2 Timothy 2:1-13』
148957	58	12	4	God Disciplines His Sons	
149158	58	12	14	A Call to Holiness	『1_peter｜1｜13｜1 Peter 1:13-21』
149244	58	12	18	An Unshakable Kingdom	『exodus｜20｜18｜Exodus 20:18-21』『deuteronomy｜5｜22｜Deuteronomy 5:22-33』
149468	58	13	1	Brotherly Love	
149527	58	13	5	Christ's Unchanging Nature	
149719	58	13	15	Sacrifice, Obedience, and Prayer	
149821	58	13	20	Benediction and Farewell	
149947	59	1	1	Greetings from James	『jude｜1｜1｜Jude 1:1-2』
149966	59	1	2	Rejoicing in Trials	『philippians｜1｜12｜Philippians 1:12-20』
150168	59	1	13	Good and Perfect Gifts	
150273	59	1	19	Hearing and Doing	
150461	59	2	1	A Warning against Favoritism	
150714	59	2	14	Faith and Works	『genesis｜15｜1｜Genesis 15:1-7』『romans｜4｜1｜Romans 4:1-12』『galatians｜3｜1｜Galatians 3:1-9』『hebrews｜11｜8｜Hebrews 11:8-19』
150982	59	3	1	Taming the Tongue	
151240	59	3	13	The Wisdom from Above	
151349	59	4	1	Warning against Pride	
151480	59	4	7	Drawing Near to God	
151597	59	4	13	Do Not Boast of Tomorrow	
151694	59	5	1	Warning to the Rich	
151812	59	5	7	Patience in Suffering	『job｜1｜1｜Job 1:1-5』
151957	59	5	13	The Prayer of Faith	
152082	59	5	19	Restoring a Sinner	
152122	60	1	1	Greetings from Peter	『2_peter｜1｜1｜2 Peter 1:1-2』
152162	60	1	3	A Living Hope	
152380	60	1	13	A Call to Holiness	『hebrews｜12｜14｜Hebrews 12:14-17』
152548	60	1	22	The Word of the Lord Stands	『isaiah｜40｜6｜Isaiah 40:6-8』
152631	60	2	1	The Lord is Good	
152677	60	2	4	The Living Stone	『isaiah｜28｜14｜Isaiah 28:14-22』『1_corinthians｜3｜10｜1 Corinthians 3:10-15』
152880	60	2	13	Submission to Authorities	『romans｜13｜1｜Romans 13:1-7』
153023	60	2	21	Christ's Example of Suffering	『isaiah｜53｜1｜Isaiah 53:1-8』『matthew｜26｜57｜Matthew 26:57-68』『mark｜14｜53｜Mark 14:53-65』『john｜18｜19｜John 18:19-24』
153124	60	3	1	Wives and Husbands	『songs｜1｜1｜Song of Solomon 1:1-3』『ephesians｜5｜22｜Ephesians 5:22-33』
153274	60	3	8	Turning from Evil	
153385	60	3	14	Suffering for Righteousness	『romans｜6｜15｜Romans 6:15-23』
153582	60	4	1	Living for God's Glory	
153797	60	4	12	Suffering as Christians	
153972	60	5	1	Instructions to Elders	
154046	60	5	5	Cast Your Cares on Him	
154140	60	5	10	Benediction and Farewell	
154238	61	1	1	Greetings from Peter	『1_peter｜1｜1｜1 Peter 1:1-2』
154281	61	1	3	Partakers of the Divine Nature	
154563	61	1	16	Eyewitnesses of His Majesty	『matthew｜17｜1｜Matthew 17:1-13』『mark｜9｜1｜Mark 9:1-13』『luke｜9｜28｜Luke 9:28-36』
154707	61	2	1	Deliverance from False Prophets	
155170	61	3	1	The Coming Judgment	『genesis｜3｜1｜Genesis 3:1-7』『genesis｜7｜1｜Genesis 7:1-5』『romans｜5｜12｜Romans 5:12-21』
155322	61	3	8	The Day of the Lord	『zephaniah｜1｜7｜Zephaniah 1:7-18』『1_thessalonians｜5｜1｜1 Thessalonians 5:1-11』
155460	61	3	14	Final Exhortations	
155585	62	1	1	The Word of Life	『luke｜24｜36｜Luke 24:36-43』『john｜20｜19｜John 20:19-23』
155687	62	1	5	Walking in the Light	『john｜8｜12｜John 8:12-30』
155832	62	2	1	Jesus Our Advocate	
155963	62	2	7	A New Commandment	
156160	62	2	15	Do Not Love the World	
156243	62	2	18	Beware of Antichrists	
156387	62	2	24	Continue in Him	
156535	62	3	1	Children of God	
156777	62	3	11	Love One Another	『john｜13｜31｜John 13:31-35』『romans｜12｜9｜Romans 12:9-13』
157100	62	4	1	Testing the Spirits	
157267	62	4	7	Love Comes from God	
157638	62	5	1	Overcoming the World	
157843	62	5	9	God's Testimony about His Son	
157957	62	5	13	Effective Prayer	
158083	62	5	18	Concluding Remarks	
158179	63	1	1	Greeting from the Elder	『3_john｜1｜1｜3 John 1:1-4』
158250	63	1	4	Walking in the Truth	『john｜8｜30｜John 8:30-41』
158321	63	1	7	Beware of Deceivers	
158433	63	1	12	Final Greetings	
158477	64	1	1	Greeting to Gaius from the Elder	『2_john｜1｜1｜2 John 1:1-3』
158545	64	1	5	Gaius Commended for His Hospitality	
158608	64	1	9	Diotrephes and Demetrius	
158710	64	1	13	Conclusion	
158752	65	1	1	Greetings from Jude	『james｜1｜1｜James 1:1-1』
158784	65	1	3	God's Judgment on the Ungodly	『genesis｜4｜1｜Genesis 4:1-7』『romans｜2｜1｜Romans 2:1-16』
159142	65	1	17	A Call to Persevere	『hebrews｜10｜19｜Hebrews 10:19-39』
159264	65	1	24	Doxology	『romans｜11｜33｜Romans 11:33-36』『romans｜16｜25｜Romans 16:25-27』
159314	66	1	1	Prologue	『daniel｜12｜1｜Daniel 12:1-13』
159387	66	1	4	John Greets the Seven Churches	
159542	66	1	9	John's Vision on Patmos	
159879	66	2	1	To the Church in Ephesus	『acts｜19｜8｜Acts 19:8-12』
160054	66	2	8	To the Church in Smyrna	
160168	66	2	12	To the Church in Pergamum	
160339	66	2	18	To the Church in Thyatira	『acts｜16｜11｜Acts 16:11-15』
160617	66	3	1	To the Church in Sardis	
160784	66	3	7	To the Church in Philadelphia	
161006	66	3	14	To the Church in Laodicea	『colossians｜2｜1｜Colossians 2:1-5』
161231	66	4	1	The Throne in Heaven	
161339	66	4	5	Worship of the Creator	
161568	66	5	1	The Scroll with Seven Seals	
161654	66	5	5	The Lamb is Worthy	
161835	66	5	11	The Lamb Exalted	
161970	66	6	1	The First Seal: The White Horse	
162024	66	6	3	The Second Seal: War	
162072	66	6	5	The Third Seal: Famine	
162136	66	6	7	The Fourth Seal: Death	
162203	66	6	9	The Fifth Seal: The Martyrs	
162296	66	6	12	The Sixth Seal: Terror	
162455	66	7	1	144,000 Sealed	
162648	66	7	9	Praise from the Great Multitude	
162921	66	8	1	The Seventh Seal	
163048	66	8	6	The First Four Trumpets	
163292	66	9	1	The Fifth Trumpet	
163598	66	9	13	The Sixth Trumpet	
163873	66	10	1	The Angel and the Small Scroll	
164209	66	11	1	The Two Witnesses	
164375	66	11	7	The Witnesses Killed and Raised	
164607	66	11	15	The Seventh Trumpet	
164784	66	12	1	The Woman and the Dragon	
164952	66	12	7	The War in Heaven	
165142	66	12	13	The Woman Persecuted	
165290	66	13	1	The Beast from the Sea	
165565	66	13	11	The Beast from the Earth	
165716	66	13	16	The Mark of the Beast	
165810	66	14	1	The Lamb and the 144,000	
165968	66	14	6	The Three Angels and Babylon's Fall	
166230	66	14	14	The Harvest of the Earth	
166444	66	15	1	The Song of Moses and the Lamb	
166583	66	15	5	Preparation for Judgment	
166693	66	16	1	The First Six Bowls of Wrath	
167108	66	16	17	The Seventh Bowl of Wrath	
167247	66	17	1	The Woman on the Beast	
167391	66	17	6	The Mystery Explained	
167620	66	17	14	The Victory of the Lamb	
167761	66	18	1	Babylon is Fallen	
167998	66	18	9	Lament over Babylon	
168352	66	18	21	The Doom of Babylon	
168483	66	19	1	Rejoicing in Heaven	
168619	66	19	6	The Marriage of the Lamb	
168762	66	19	11	The Rider on the White Horse	
168916	66	19	17	Defeat of the Beast and False Prophet	
169093	66	20	1	Satan Bound	
169293	66	20	7	Satan Cast into the Lake of Fire	
169410	66	20	11	The Final Judgment	
169560	66	21	1	A New Heaven and a New Earth	
169796	66	21	9	The New Jerusalem	
170283	66	22	1	The River of Life	
170417	66	22	6	Jesus is Coming	
170720	66	22	18	Nothing May Be Added	
